school,year,applicants_2B,applicants_2C,vacancies_2B,vacancies_2C,taken_2B,taken_2C,balloted_year
Fuhua,2012,0,92,71,141,0,92,0
Gan Eng Seng,2012,1,144,64,126,1,126,1
Geylang Methodist,2012,7,146,73,138,7,138,1
Gongshang,2012,34,81,56,77,34,77,1
Greendale,2012,1,61,65,129,1,61,0
Greenridge,2012,18,125,61,103,18,103,1
Greenwood,2012,7,85,51,94,7,85,0
Guangyang,2012,0,56,77,153,0,56,0
Haig Girls’,2012,9,117,59,108,9,108,1
Henry Park,2012,19,43,12,12,12,12,1
Holy Innocents’,2012,50,59,43,43,43,43,1
Hong Wen,2012,58,88,46,45,46,45,1
Horizon,2012,8,234,112,216,7,216,1
Hougang,2012,35,110,63,90,35,90,1
Huamin,2012,0,48,63,126,0,48,0
Innova,2012,19,128,47,75,18,75,1
Jiemin,2012,7,96,44,80,7,80,1
Jing Shan,2012,0,67,53,106,0,67,0
Junyuan,2012,2,83,61,119,2,83,0
Jurong,2012,19,115,59,99,19,99,1
Jurong West,2012,30,128,59,88,30,88,1
Juying,2012,0,16,88,175,0,16,0
Keming,2012,33,101,57,80,33,80,1
Kheng Cheng,2012,5,134,64,122,5,122,1
Kong Hwa,2012,79,77,41,41,41,41,1
Kranji,2012,0,35,79,158,0,35,0
Kuo Chuan Presbyterian,2012,39,118,73,106,39,106,1
Lakeside,2012,0,147,64,128,0,128,1
Lianhua,2012,0,57,79,158,0,57,0
Maha Bodhi,2012,61,66,43,43,43,43,1
Maris Stella High,2012,78,98,82,86,78,86,1
Marsiling,2012,0,93,82,163,0,92,0
Marymount Convent,2012,30,128,89,148,30,128,0
Mayflower,2012,1,111,73,144,1,111,0
Mee Toh,2012,58,152,62,66,58,66,1
Meridian,2012,0,52,61,121,0,52,0
Methodist Girls’,2012,45,35,28,28,28,28,1
Montfort Junior,2012,10,58,83,155,10,58,0
Nan Chiau,2012,83,180,58,58,58,58,1
Nan Hua,2012,35,63,16,16,16,16,1
Nanyang,2012,33,33,25,25,25,25,1
Naval Base,2012,1,54,64,126,1,54,0
New Town,2012,4,101,74,144,4,97,0
Ngee Ann,2012,19,114,67,114,19,114,0
North Spring,2012,0,51,68,136,0,50,0
North View,2012,0,92,63,126,0,92,0
North Vista,2012,9,114,46,82,9,82,1
Northland,2012,47,99,47,47,47,47,1
Opera Estate,2012,0,45,62,124,0,45,0
Palm View,2012,0,74,105,210,0,74,0
Park View,2012,0,46,58,115,0,46,0
Pasir Ris,2012,27,77,50,73,27,73,1
Paya Lebar Methodist Girls’,2012,61,119,82,103,61,103,1
Pei Chun Public,2012,51,73,39,38,39,38,1
Pei Hwa Presbyterian,2012,40,42,28,27,28,27,1
Pei Tong,2012,0,103,73,146,0,103,0
Peiying,2012,1,85,56,111,1,85,0
Pioneer,2012,0,74,72,144,0,74,0
Poi Ching,2012,29,106,63,97,29,97,1
Princess Elizabeth,2012,3,153,64,124,3,124,1
Punggol,2012,1,82,64,128,0,82,0
Punggol Green,2012,1,37,105,209,1,37,0
Punggol View,2012,0,120,105,210,0,119,0
Qifa,2012,6,126,66,125,6,125,1
Qihua,2012,0,102,68,135,0,101,0
Queenstown,2012,0,88,80,159,0,87,0
Radin Mas,2012,63,84,51,50,51,50,1
Raffles Girls’,2012,42,46,42,42,42,42,1
Red Swastika,2012,18,40,14,14,14,14,1
River Valley,2012,55,54,47,46,47,46,1
Riverside,2012,1,219,120,239,1,218,0
Rivervale,2012,34,147,52,70,34,70,1
Rosyth,2012,47,113,43,43,43,43,1
Rulang,2012,17,60,10,9,10,9,1
Sembawang,2012,1,76,81,162,1,75,0
Seng Kang,2012,0,69,65,130,0,69,0
Sengkang Green,2012,0,109,105,210,0,108,0
Shuqun,2012,24,120,58,91,24,91,1
Si Ling,2012,2,49,76,150,2,48,0
Singapore Chinese Girls’,2012,34,51,30,29,30,29,1
South View,2012,19,103,29,39,19,39,1
Springdale,2012,3,52,105,207,3,52,0
St. Andrew’s Junior,2012,64,70,58,58,58,58,1
St. Anthony’s,2012,29,111,64,100,28,100,1
St. Anthony’s Canossian,2012,40,95,66,91,40,91,1
St. Gabriel’s,2012,27,54,49,71,27,54,0
St. Hilda’s,2012,52,85,43,42,43,42,1
St. Joseph’s Institution Junior,2012,81,89,60,59,60,59,1
St. Margaret’s,2012,35,127,68,100,35,100,1
St. Stephen’s,2012,52,85,61,70,52,70,1
Stamford,2012,0,54,63,126,0,54,0
Tampines,2012,7,127,68,129,7,127,0
Tampines North,2012,1,76,64,127,1,76,0
Tanjong Katong,2012,3,138,60,118,3,118,1
Tao Nan,2012,80,79,53,53,53,53,1
Teck Ghee,2012,2,149,74,146,2,146,1
Teck Whye,2012,1,38,90,179,1,37,0
Telok Kurau,2012,1,112,52,102,1,102,1
Temasek,2012,36,52,31,30,31,30,1
Townsville,2012,0,60,63,126,0,60,0
Unity,2012,11,100,63,115,11,100,0
Wellington,2012,1,85,97,192,1,85,0
West Grove,2012,29,116,61,93,29,93,1
West View,2012,0,59,81,162,0,59,0
Westwood,2012,0,267,120,240,0,240,1
White Sands,2012,22,66,41,60,22,60,1
Woodgrove,2012,28,99,60,91,28,91,1
Woodlands,2012,3,128,61,119,3,119,1
Woodlands Ring,2012,3,112,66,129,3,112,0
Xinghua,2012,2,68,71,139,2,68,0
Xingnan,2012,1,102,55,109,1,102,0
Xinmin,2012,14,79,44,74,14,74,1
Xishan,2012,0,56,51,101,0,54,0
Yangzheng,2012,16,85,44,71,16,71,1
Yew Tee,2012,27,112,58,88,27,88,1
Yio Chu Kang,2012,1,58,65,128,1,58,0
Yishun,2012,2,90,59,115,2,90,0
Yu Neng,2012,22,78,37,52,22,52,1
Yuhua,2012,0,47,71,141,0,47,0
Yumin,2012,0,50,48,96,0,50,0
Zhangde,2012,9,158,66,123,9,123,1
Zhenghua,2012,1,139,72,143,1,138,0
Zhonghua,2012,0,61,63,126,0,61,0
Admiralty,2013,40,96,63,86,40,86,1
Ahmad Ibrahim,2013,2,73,60,118,2,73,0
Ai Tong,2013,25,38,8,7,8,7,1
Alexandra,2013,0,232,105,210,0,210,1
Anchor Green,2013,3,90,41,78,3,78,1
Anderson,2013,24,50,33,41,24,41,1
Ang Mo Kio,2013,0,68,66,132,0,68,0
Anglo-Chinese (Junior),2013,73,49,47,45,48,45,1
Anglo-Chinese (Primary),2013,31,31,24,22,26,22,1
Angsana,2013,0,32,59,117,0,32,0
Beacon,2013,11,118,62,112,11,112,1
Bedok Green,2013,1,111,73,145,1,111,0
Bendemeer,2013,2,62,53,104,2,62,0
Blangah Rise,2013,0,21,70,140,0,21,0
Boon Lay Garden,2013,2,97,74,146,2,97,0
Bukit Panjang,2013,17,97,54,90,17,90,1
Bukit Timah,2013,1,63,61,121,1,63,0
Bukit View,2013,1,95,62,123,1,94,0
CHIJ (Katong),2013,41,95,66,91,41,91,1
CHIJ (Kellock),2013,30,86,60,90,30,86,0
CHIJ (Toa Payoh),2013,60,54,45,44,45,44,1
CHIJ Our Lady Queen of Peace,2013,53,67,58,62,53,62,1
CHIJ Our Lady of Good Counsel,2013,39,56,45,50,39,50,1
CHIJ Our Lady of the Nativity,2013,59,93,71,82,59,82,1
CHIJ St. Nicholas Girls’,2013,33,37,13,12,13,12,1
Canberra,2013,72,95,63,62,63,62,1
Canossa Catholic,2013,5,54,47,89,5,54,0
Cantonment,2013,0,97,91,181,0,97,0
Casuarina,2013,2,78,60,117,2,78,0
Catholic High,2013,43,49,26,26,26,26,1
Cedar,2013,1,63,32,62,1,62,1
Changkat,2013,1,114,52,103,1,103,1
Chongfu,2013,72,100,53,53,53,53,1
Chongzheng,2013,20,71,38,55,20,55,1
Chua Chu Kang,2013,7,128,67,127,7,127,1
Clementi,2013,7,133,88,168,7,133,0
Compassvale,2013,33,142,67,100,33,100,1
Concord,2013,4,98,55,105,4,98,0
Corporation,2013,1,62,58,115,1,62,0
Damai,2013,0,15,62,125,0,15,0
Dazhong,2013,0,81,62,124,0,81,0
De La Salle,2013,40,122,70,99,40,99,1
East Spring,2013,3,94,51,99,3,95,0
Edgefield,2013,16,119,74,132,16,119,0
Elias Park,2013,1,95,52,102,1,95,0
Endeavour,2013,30,81,45,60,30,60,1
Eunos,2013,1,30,59,117,1,30,0
Evergreen,2013,10,127,62,114,10,114,1
Fairfield Methodist,2013,50,66,19,19,19,19,1
Farrer Park,2013,0,55,78,156,0,55,0
Fengshan,2013,4,97,43,81,4,81,1
Fernvale,2013,1,52,72,142,1,52,0
First Toa Payoh,2013,0,45,82,164,0,45,0
Frontier,2013,41,178,91,140,41,140,1
Fuchun,2013,5,122,55,104,5,104,1
Fuhua,2013,1,82,69,136,1,82,0
Gan Eng Seng,2013,2,95,65,127,2,95,0
Geylang Methodist,2013,18,137,72,125,18,125,1
Gongshang,2013,24,91,56,87,24,87,1
Greendale,2013,1,65,59,117,1,65,0
Greenridge,2013,14,108,56,98,14,98,1
Greenwood,2013,7,92,68,128,7,91,0
Guangyang,2013,0,47,93,185,0,47,0
Haig Girls’,2013,9,118,49,89,9,89,1
Henry Park,2013,9,25,5,5,5,5,1
Holy Innocents’,2013,47,64,40,39,40,39,1
Hong Wen,2013,72,83,51,51,51,51,1
Horizon,2013,14,209,79,143,14,143,1
Hougang,2013,41,114,55,69,41,69,1
Huamin,2013,1,75,50,99,1,75,0
Innova,2013,20,139,56,91,20,91,1
Jiemin,2013,11,89,35,59,11,59,1
Jing Shan,2013,1,41,60,119,1,41,0
Junyuan,2013,0,93,61,122,0,93,0
Jurong,2013,28,110,50,71,28,71,1
Jurong West,2013,15,125,54,92,15,92,1
Juying,2013,1,23,95,188,1,23,0
Keming,2013,19,120,57,95,19,95,1
Kheng Cheng,2013,3,142,68,133,3,133,1
Kong Hwa,2013,46,75,41,41,41,41,1
Kranji,2013,1,34,73,144,1,34,0
Kuo Chuan Presbyterian,2013,43,88,55,67,43,67,1
Lakeside,2013,2,111,52,101,2,101,1
Lianhua,2013,0,43,55,110,0,42,0
Maha Bodhi,2013,44,63,40,40,40,40,1
Maris Stella High,2013,79,84,71,71,71,71,1
Marsiling,2013,0,66,79,157,0,66,0
Marymount Convent,2013,17,127,85,152,17,128,0
Mayflower,2013,1,102,82,162,1,102,0
Mee Toh,2013,62,114,69,75,62,75,1
Meridian,2013,0,57,62,123,0,57,0
Methodist Girls’,2013,57,48,40,38,41,38,1
Montfort Junior,2013,14,53,90,165,14,53,0
Nan Chiau,2013,68,175,53,52,53,52,1
Nan Hua,2013,30,72,15,15,15,15,1
Nanyang,2013,36,48,25,25,25,25,1
Naval Base,2013,1,53,61,120,1,53,0
New Town,2013,2,107,77,152,2,107,0
Ngee Ann,2013,29,112,59,88,29,88,1
North Spring,2013,0,48,66,132,0,48,0
North View,2013,0,111,56,112,0,111,0
North Vista,2013,11,122,55,99,11,99,1
Northland,2013,25,112,52,78,25,78,1
Northoaks,2013,0,71,105,210,0,70,0
Opera Estate,2013,1,82,60,119,1,82,0
Palm View,2013,1,125,109,217,1,125,0
Park View,2013,1,72,58,114,1,72,0
Pasir Ris,2013,30,80,42,53,30,53,1
Paya Lebar Methodist Girls’,2013,75,84,73,71,74,71,1
Pei Chun Public,2013,45,55,38,38,38,38,1
Pei Hwa Presbyterian,2013,52,54,34,33,34,33,1
Pei Tong,2013,6,84,77,147,6,84,0
Peiying,2013,0,65,64,127,0,65,0
Pioneer,2013,0,84,76,152,0,84,0
Poi Ching,2013,46,96,57,67,46,67,1
Princess Elizabeth,2013,7,126,57,107,7,107,1
Punggol,2013,0,112,58,116,0,112,0
Punggol Green,2013,0,103,117,234,0,103,0
Punggol View,2013,2,198,100,197,2,197,1
Qifa,2013,1,131,68,134,1,131,0
Qihua,2013,1,80,65,129,1,80,0
Queenstown,2013,0,84,78,156,0,83,0
Radin Mas,2013,32,74,41,50,32,50,1
Raffles Girls’,2013,26,69,42,58,26,58,1
Red Swastika,2013,16,46,12,11,12,11,1
River Valley,2013,42,53,42,42,42,42,1
Riverside,2013,2,224,109,216,2,216,1
Rivervale,2013,36,159,60,83,36,83,1
Rosyth,2013,38,120,31,30,31,30,1
Rulang,2013,22,88,30,38,22,38,1
Sembawang,2013,1,83,72,143,1,81,0
Seng Kang,2013,2,122,81,159,2,122,0
Sengkang Green,2013,2,230,113,223,2,223,1
Shuqun,2013,34,116,65,96,34,96,1
Si Ling,2013,2,44,82,161,2,44,0
Singapore Chinese Girls’,2013,23,43,22,22,22,22,1
South View,2013,24,85,32,40,24,40,1
Springdale,2013,1,58,113,225,1,58,0
St. Andrew’s Junior,2013,67,75,56,55,56,55,1
St. Anthony’s,2013,31,106,59,86,31,86,1
St. Anthony’s Canossian,2013,34,110,76,119,34,109,0
St. Gabriel’s,2013,24,90,49,74,24,74,1
St. Hilda’s,2013,52,70,34,34,34,34,1
St. Joseph’s Institution Junior,2013,80,77,56,55,56,55,1
St. Margaret’s,2013,58,94,67,75,58,75,1
St. Stephen’s,2013,60,86,65,70,60,70,1
Stamford,2013,1,54,59,117,1,53,0
Tampines,2013,7,119,58,109,7,109,1
Tampines North,2013,2,63,67,131,2,63,0
Tanjong Katong,2013,9,135,76,143,9,134,0
Tao Nan,2013,66,49,41,40,41,40,1
Teck Ghee,2013,8,152,69,130,8,130,1
Teck Whye,2013,0,30,74,148,0,30,0
Telok Kurau,2013,2,110,56,109,2,109,1
Temasek,2013,33,58,30,30,30,30,1
Townsville,2013,0,84,67,133,0,82,0
Unity,2013,15,129,75,135,15,129,0
Wellington,2013,1,116,66,131,1,115,0
West Grove,2013,11,137,57,102,11,102,1
West Spring,2013,1,140,105,209,1,140,0
West View,2013,1,43,74,146,1,42,0
Westwood,2013,1,254,104,207,1,207,1
White Sands,2013,21,88,48,74,21,74,1
Woodgrove,2013,32,91,60,87,32,87,1
Woodlands,2013,6,116,70,133,6,116,0
Woodlands Ring,2013,3,93,64,124,3,93,0
Xinghua,2013,0,73,75,149,0,73,0
Xingnan,2013,6,94,62,118,6,94,0
Xinmin,2013,11,125,56,100,11,100,1
Xishan,2013,0,57,63,126,0,57,0
Yangzheng,2013,24,81,43,61,24,61,1
Yew Tee,2013,36,104,62,87,36,87,1
Yio Chu Kang,2013,1,52,57,113,1,51,0
Yishun,2013,2,108,53,103,2,103,1
Yu Neng,2013,21,76,25,29,21,29,1
Yuhua,2013,0,73,71,142,0,72,0
Yumin,2013,0,49,50,99,0,49,0
Zhangde,2013,11,116,50,89,11,89,1
Zhenghua,2013,0,99,72,143,0,99,0
Zhonghua,2013,0,73,74,147,0,73,0
Admiralty,2014,41,85,58,75,41,75,1
Ahmad Ibrahim,2014,0,53,56,112,0,53,0
Ai Tong,2014,37,49,31,30,31,30,1
Alexandra,2014,4,254,96,187,4,187,1
Anchor Green,2014,5,121,61,118,4,118,1
Anderson,2014,20,56,30,42,18,42,1
Ang Mo Kio,2014,0,85,71,142,0,84,0
Anglo-Chinese (Junior),2014,75,101,73,73,73,73,1
Anglo-Chinese (Primary),2014,35,54,32,30,34,30,1
Angsana,2014,2,22,64,125,2,22,0
Beacon,2014,0,92,64,127,0,92,0
Bedok Green,2014,0,88,72,145,0,86,0
Bendemeer,2014,0,93,68,136,0,91,0
Blangah Rise,2014,0,20,75,149,0,20,0
Boon Lay Garden,2014,1,75,79,156,1,73,0
Bukit Panjang,2014,7,83,38,68,7,68,1
Bukit Timah,2014,1,65,59,117,1,62,0
Bukit View,2014,1,83,86,170,1,83,0
CHIJ (Katong),2014,39,87,80,120,39,85,0
CHIJ (Kellock),2014,37,98,64,90,37,90,1
CHIJ (Toa Payoh),2014,64,74,50,51,49,51,1
CHIJ Our Lady Queen of Peace,2014,42,69,61,80,42,67,0
CHIJ Our Lady of Good Counsel,2014,28,58,47,65,28,56,0
CHIJ Our Lady of the Nativity,2014,47,116,74,101,47,101,1
CHIJ St. Nicholas Girls’,2014,34,32,20,20,20,20,1
Canberra,2014,57,78,43,42,43,42,1
Canossa Catholic,2014,5,34,45,85,5,33,0
Cantonment,2014,2,95,88,174,2,94,0
Casuarina,2014,1,70,54,107,1,70,0
Catholic High,2014,29,42,22,23,21,23,1
Cedar,2014,0,58,36,72,0,53,0
Changkat,2014,3,90,47,91,3,90,0
Chongfu,2014,63,93,55,56,54,56,1
Chongzheng,2014,14,66,36,58,13,58,1
Chua Chu Kang,2014,7,135,60,113,7,113,1
Clementi,2014,2,133,66,130,2,130,1
Compassvale,2014,36,137,67,97,36,97,1
Concord,2014,4,109,60,116,3,109,0
Corporation,2014,0,95,70,139,0,94,0
Damai,2014,0,28,70,141,0,26,0
Dazhong,2014,0,65,64,128,0,65,0
De La Salle,2014,56,97,68,80,55,80,1
East Spring,2014,3,88,52,100,3,88,0
Edgefield,2014,2,152,63,124,2,124,1
Elias Park,2014,1,113,56,110,1,110,1
Endeavour,2014,32,93,61,89,32,89,1
Eunos,2014,0,39,63,125,0,39,0
Evergreen,2014,12,129,62,112,12,112,1
Fairfield Methodist,2014,51,58,26,28,24,28,1
Farrer Park,2014,0,30,79,158,0,29,0
Fengshan,2014,1,115,45,88,1,88,1
Fernvale,2014,0,60,77,153,0,58,0
First Toa Payoh,2014,1,31,97,192,1,31,0
Frontier,2014,32,175,78,124,32,124,1
Fuchun,2014,1,97,64,126,1,97,0
Fuhua,2014,0,90,60,119,0,89,0
Gan Eng Seng,2014,0,80,78,156,0,78,0
Geylang Methodist,2014,11,163,80,149,11,149,1
Gongshang,2014,28,84,49,69,28,69,1
Greendale,2014,1,88,88,174,1,88,0
Greenridge,2014,8,115,56,104,7,104,1
Greenwood,2014,6,107,63,119,6,104,0
Guangyang,2014,0,43,80,160,0,41,0
Haig Girls’,2014,12,87,55,98,12,84,0
Henry Park,2014,22,50,20,21,19,21,1
Holy Innocents’,2014,48,62,40,41,38,41,1
Hong Wen,2014,63,68,46,46,46,46,1
Horizon,2014,38,177,66,94,38,94,1
Hougang,2014,47,120,69,90,47,90,1
Huamin,2014,0,81,53,106,0,81,0
Innova,2014,25,137,47,68,25,68,1
Jiemin,2014,9,82,40,71,8,71,1
Jing Shan,2014,1,70,50,98,1,67,0
Junyuan,2014,0,79,76,151,0,78,0
Jurong,2014,20,86,47,73,20,73,1
Jurong West,2014,13,146,56,99,13,99,1
Juying,2014,0,7,96,191,0,7,0
Keming,2014,24,82,44,63,24,63,1
Kheng Cheng,2014,0,150,69,137,0,137,1
Kong Hwa,2014,47,67,33,33,33,33,1
Kranji,2014,0,29,78,155,0,28,0
Kuo Chuan Presbyterian,2014,57,68,60,63,56,63,1
Lakeside,2014,0,130,62,123,0,123,1
Lianhua,2014,0,36,70,139,0,34,0
Maha Bodhi,2014,58,70,48,48,48,48,1
Maris Stella High,2014,73,65,53,54,52,54,1
Marsiling,2014,0,57,81,162,0,57,0
Marymount Convent,2014,31,121,96,161,31,119,0
Mayflower,2014,1,73,83,165,1,72,0
Mee Toh,2014,61,123,58,56,59,56,1
Meridian,2014,1,52,77,153,1,51,0
Methodist Girls’,2014,44,40,28,28,28,28,1
Montfort Junior,2014,11,37,92,172,11,37,0
Nan Chiau,2014,96,163,64,64,63,64,1
Nan Hua,2014,28,64,20,21,19,21,1
Nanyang,2014,32,30,23,23,22,23,1
Naval Base,2014,0,39,80,160,0,39,0
New Town,2014,0,95,78,155,0,93,0
Ngee Ann,2014,35,88,48,62,34,62,1
North Spring,2014,0,54,81,161,0,54,0
North View,2014,0,108,61,121,0,108,0
North Vista,2014,8,100,64,119,8,99,0
Northland,2014,27,156,52,76,27,76,1
Northoaks,2014,0,65,101,201,0,65,0
Opera Estate,2014,4,88,51,97,4,87,0
Palm View,2014,1,158,100,199,1,158,0
Park View,2014,0,75,61,121,0,75,0
Pasir Ris,2014,41,70,31,31,31,31,1
Paya Lebar Methodist Girls’,2014,57,97,67,77,57,77,1
Pei Chun Public,2014,40,65,34,34,33,34,1
Pei Hwa Presbyterian,2014,41,52,40,40,40,40,1
Pei Tong,2014,3,81,67,131,3,80,0
Peiying,2014,0,68,53,107,0,67,0
Pioneer,2014,0,87,74,147,0,87,0
Poi Ching,2014,31,104,53,75,31,75,1
Princess Elizabeth,2014,0,116,46,92,0,92,1
Punggol,2014,1,101,64,127,1,100,0
Punggol Green,2014,1,185,136,271,1,185,0
Punggol View,2014,3,207,101,198,3,198,1
Qifa,2014,8,122,62,117,6,117,1
Qihua,2014,0,79,69,139,0,77,0
Queenstown,2014,0,84,79,158,0,84,0
Radin Mas,2014,22,53,20,20,20,20,1
Raffles Girls’,2014,21,143,62,102,21,102,1
Red Swastika,2014,16,79,26,36,15,36,1
River Valley,2014,22,78,43,64,21,64,1
Riverside,2014,4,194,96,188,4,188,1
Rivervale,2014,34,144,59,83,34,83,1
Rosyth,2014,44,95,28,28,27,28,1
Rulang,2014,30,98,29,28,30,28,1
Sembawang,2014,1,84,62,123,1,83,0
Seng Kang,2014,1,103,72,143,1,103,0
Sengkang Green,2014,7,256,100,193,7,193,1
Shuqun,2014,26,87,40,53,26,53,1
Si Ling,2014,0,39,79,158,0,35,0
Singapore Chinese Girls’,2014,31,39,28,28,28,28,1
South View,2014,27,88,36,46,26,46,1
Springdale,2014,1,90,113,225,1,90,0
St. Andrew’s Junior,2014,76,76,54,55,53,55,1
St. Anthony’s,2014,49,96,65,82,47,82,1
St. Anthony’s Canossian,2014,36,92,78,120,36,92,0
St. Gabriel’s,2014,40,61,50,61,38,61,0
St. Hilda’s,2014,62,106,54,54,54,54,1
St. Joseph’s Institution Junior,2014,79,79,58,57,58,57,1
St. Margaret’s,2014,51,95,67,82,51,82,1
St. Stephen’s,2014,47,80,60,74,46,74,1
Stamford,2014,1,21,67,133,1,21,0
Tampines,2014,5,116,58,110,5,110,1
Tampines North,2014,0,64,63,126,0,63,0
Tanjong Katong,2014,0,124,62,123,0,117,1
Tao Nan,2014,64,65,42,42,41,42,1
Teck Ghee,2014,6,131,65,123,6,123,1
Teck Whye,2014,0,33,81,161,0,31,0
Telok Kurau,2014,0,83,55,110,0,80,0
Temasek,2014,27,66,25,25,24,25,1
Townsville,2014,0,59,66,132,0,57,0
Unity,2014,7,125,64,120,7,120,1
Wellington,2014,0,109,78,156,0,109,0
West Grove,2014,12,128,62,111,12,111,1
West Spring,2014,0,191,111,221,0,190,0
West View,2014,0,35,61,121,0,34,0
Westwood,2014,8,211,94,180,8,180,1
White Sands,2014,17,83,44,71,17,71,1
Woodgrove,2014,26,96,59,91,26,91,1
Woodlands,2014,7,97,63,119,7,95,0
Woodlands Ring,2014,3,121,66,129,3,121,0
Xinghua,2014,0,60,67,134,0,60,0
Xingnan,2014,5,93,59,113,5,93,0
Xinmin,2014,12,71,38,64,12,64,1
Xishan,2014,0,41,62,124,0,41,0
Yangzheng,2014,22,73,40,57,22,57,1
Yew Tee,2014,21,108,69,116,21,107,0
Yio Chu Kang,2014,0,67,67,133,0,66,0
Yishun,2014,0,91,49,97,0,89,0
Yu Neng,2014,25,45,20,20,20,20,1
Yuhua,2014,0,46,84,168,0,46,0
Yumin,2014,0,41,56,111,0,35,0
Zhangde,2014,12,132,68,123,12,123,1
Zhenghua,2014,1,95,59,117,1,93,0
Zhonghua,2014,1,55,70,138,1,55,0
Admiralty,2015,22,87,49,79,18,79,1
Ahmad Ibrahim,2015,0,52,59,119,0,52,0
Ai Tong,2015,28,44,20,22,18,22,1
Alexandra,2015,6,206,79,151,6,151,1
Anchor Green,2015,12,94,82,151,12,94,0
Anderson,2015,19,58,32,45,18,45,1
Ang Mo Kio,2015,0,82,70,140,0,82,0
Anglo-Chinese (Junior),2015,90,75,58,58,58,58,1
Anglo-Chinese (Primary),2015,33,33,29,29,29,29,1
Angsana,2015,0,16,59,118,0,16,0
Beacon,2015,0,102,73,146,0,102,0
Bedok Green,2015,1,82,74,149,0,80,0
Bendemeer,2015,0,62,78,156,0,62,0
Blangah Rise,2015,0,23,57,114,0,23,0
Boon Lay Garden,2015,0,53,78,158,0,53,0
Bukit Panjang,2015,5,98,46,87,4,87,1
Bukit Timah,2015,0,67,61,124,0,67,0
Bukit View,2015,0,77,62,123,0,77,0
CHIJ (Katong),2015,35,73,72,110,33,73,0
CHIJ (Kellock),2015,32,76,60,90,30,76,0
CHIJ (Toa Payoh),2015,54,57,45,47,43,47,1
CHIJ Our Lady Queen of Peace,2015,27,48,55,86,24,48,0
CHIJ Our Lady of Good Counsel,2015,26,47,45,65,24,47,0
CHIJ Our Lady of the Nativity,2015,49,99,78,108,47,99,0
CHIJ St. Nicholas Girls’,2015,29,33,21,21,21,21,1
Canberra,2015,72,83,58,60,55,60,1
Canossa Catholic,2015,2,23,50,99,0,23,0
Cantonment,2015,1,112,68,136,0,111,0
Casuarina,2015,0,50,57,114,0,50,0
Catholic High,2015,22,40,20,22,18,22,1
Cedar,2015,0,52,36,72,0,52,0
Changkat,2015,2,69,55,109,0,68,0
Chongfu,2015,52,78,56,63,49,63,1
Chongzheng,2015,15,61,37,58,15,58,1
Chua Chu Kang,2015,0,142,69,138,0,138,1
Clementi,2015,6,108,66,127,4,108,0
Compassvale,2015,33,125,71,110,32,110,1
Concord,2015,0,100,63,126,0,100,0
Corporation,2015,0,89,56,113,0,89,0
Damai,2015,0,21,53,107,0,21,0
Dazhong,2015,0,59,64,130,0,59,0
De La Salle,2015,36,120,69,103,35,103,1
East Spring,2015,1,84,53,104,1,83,0
Edgefield,2015,0,128,64,128,0,128,0
Elias Park,2015,0,97,49,98,0,97,0
Endeavour,2015,10,102,52,94,10,94,1
Eunos,2015,0,35,70,140,0,35,0
Evergreen,2015,6,126,65,124,6,124,1
Fairfield Methodist,2015,48,47,31,31,31,31,1
Farrer Park,2015,1,38,65,131,0,38,0
Fengshan,2015,6,98,42,80,4,80,1
Fernvale,2015,0,73,81,161,0,73,0
First Toa Payoh,2015,0,20,73,145,0,20,0
Frontier,2015,26,131,75,123,26,123,1
Fuchun,2015,1,87,58,115,1,87,0
Fuhua,2015,0,90,70,139,0,90,0
Gan Eng Seng,2015,0,74,61,123,0,74,0
Geylang Methodist,2015,9,142,72,136,7,136,1
Gongshang,2015,18,89,45,72,18,72,1
Greendale,2015,1,118,69,137,0,118,0
Greenridge,2015,7,106,67,129,5,106,0
Greenwood,2015,4,87,72,140,3,87,0
Guangyang,2015,0,29,75,150,0,28,0
Haig Girls’,2015,13,90,58,103,13,90,0
Henry Park,2015,21,41,21,24,18,24,1
Holy Innocents’,2015,59,63,51,57,44,57,1
Hong Wen,2015,30,86,39,48,29,48,1
Horizon,2015,29,129,40,54,26,54,1
Hougang,2015,31,128,71,111,30,111,1
Huamin,2015,1,98,44,87,0,87,1
Innova,2015,23,117,53,83,22,83,1
Jiemin,2015,8,86,41,76,6,76,1
Jing Shan,2015,0,64,59,119,0,64,0
Junyuan,2015,0,82,73,146,0,82,0
Jurong,2015,10,86,44,81,7,81,1
Jurong West,2015,6,145,64,123,5,123,1
Juying,2015,0,13,83,165,0,12,0
Keming,2015,31,95,47,64,29,64,1
Kheng Cheng,2015,2,117,50,98,1,98,1
Kong Hwa,2015,53,62,46,49,43,49,1
Kranji,2015,0,20,80,160,0,20,0
Kuo Chuan Presbyterian,2015,56,68,55,57,52,57,1
Lakeside,2015,0,127,60,119,0,119,1
Lianhua,2015,0,49,60,121,0,49,0
Maha Bodhi,2015,45,64,52,62,42,62,1
Maris Stella High,2015,71,68,58,59,56,59,1
Marsiling,2015,0,57,73,146,0,56,0
Marymount Convent,2015,25,81,93,165,21,81,0
Mayflower,2015,1,76,61,121,0,76,0
Mee Toh,2015,52,135,67,82,52,82,1
Meridian,2015,0,36,49,97,0,36,0
Methodist Girls’,2015,41,28,26,26,26,26,1
Montfort Junior,2015,9,22,73,138,8,22,0
Nan Chiau,2015,80,166,61,61,60,61,1
Nan Hua,2015,27,54,20,21,19,21,1
