coef,se,p_value,ci_lo,ci_hi,n,n_left,n_right,spec,outcome,threshold,cutoff_km,bandwidth_km,kernel,poly_order,donut_km,ring_lower_km,extra_formula,pct_effect
-0.03551677246240961,0.003055265712491631,3.08409595144406e-31,-0.041505093258893205,-0.029528451665926016,84126,45850,38276,bw_0.3,log_real_price_psf,80,1.0,0.3,triangular,1,0.0,,,-3.4893453119028806
-0.018328932368280964,0.002382482458369494,1.434913046685665e-14,-0.022998597986685174,-0.013659266749876756,134487,76008,58479,bw_0.5,log_real_price_psf,80,1.0,0.5,triangular,1,0.0,,,-1.8161979068736955
-0.011588543774988925,0.0019035808417206131,1.1450116156628806e-09,-0.015319562224761326,-0.007857525325216524,202795,116193,86602,bw_0.8,log_real_price_psf,80,1.0,0.8,triangular,1,0.0,,,-1.1521655231177097
-0.0078697666377145,0.0017492524089031413,6.829588064273661e-06,-0.011298301359164657,-0.0044412319162643425,223099,123154,99945,bw_1.0,log_real_price_psf,80,1.0,1.0,triangular,1,0.0,,,-0.7838881098018335
-0.04375214014223571,0.005586139657529988,4.791486790943289e-15,-0.054700973870994485,-0.03280330641347694,39945,21606,18339,bw_0.3,log_real_price_psf,80,2.0,0.3,triangular,1,0.0,1.05,,-4.280882265774
-0.0436127526010238,0.004146418169083374,7.123995090307413e-26,-0.05173973221242721,-0.035485772989620384,69786,41466,28320,bw_0.5,log_real_price_psf,80,2.0,0.5,triangular,1,0.0,1.05,,-4.267539283404909
-0.04028798545175031,0.0032095113665074927,3.842554189741058e-36,-0.046578627730104995,-0.033997343173395624,114997,73926,41071,bw_0.8,log_real_price_psf,80,2.0,0.8,triangular,1,0.0,1.05,,-3.94872143903382
-0.022478134042095296,0.002851070926481697,3.1680539345080162e-15,-0.02806623305799942,-0.016890035026191172,140986,92894,48092,bw_1.0,log_real_price_psf,80,2.0,1.0,triangular,1,0.0,1.05,,-2.2227383105526966
