coef,se,p_value,ci_lo,ci_hi,n,n_left,n_right,n_clusters,spec,outcome,threshold,cutoff_km,bandwidth_km,donut_km,ring_lower_km,include_controls,add_year_fe,pct_effect
-0.009733718092601963,0.013004550239158624,0.4541673306203834,-0.03522263656135287,0.01575520037614894,95925,56008,39917,61,schoolfe_bw_0.3,log_real_price_psf,75,1.0,0.3,0.0,,False,True,-0.9686498789302833
-0.007711530962356054,0.012408625691607476,0.5342934831002528,-0.032032437317906705,0.016609375393194598,156398,96435,59963,63,schoolfe_bw_0.5,log_real_price_psf,75,1.0,0.5,0.0,,False,True,-0.7681873391521821
-0.004608062693585468,0.012463756006542209,0.7115933509835809,-0.0290370244664082,0.01982089907923726,236422,149723,86699,63,schoolfe_bw_0.8,log_real_price_psf,75,1.0,0.8,0.0,,False,True,-0.459746186204113
0.0013647096419608365,0.01300070577682949,0.9163980538574605,-0.02411667368062496,0.026846092964546635,257705,159338,98367,63,schoolfe_bw_1.0,log_real_price_psf,75,1.0,1.0,0.0,,False,True,0.13656412819220698
0.060759974167998936,0.04523868935842077,0.17924037931584602,-0.02790785697450577,0.14942780531050365,31440,19504,11936,46,schoolfe_bw_0.3,log_real_price_psf,75,2.0,0.3,0.0,1.05,False,True,6.264382160661364
0.05505240998122749,0.0417226228385947,0.18700674144112672,-0.026723930782418116,0.1368287507448731,56378,38404,17974,51,schoolfe_bw_0.5,log_real_price_psf,75,2.0,0.5,0.0,1.05,False,True,5.659598940035693
0.04321171347376042,0.0388960058850287,0.2665877056031545,-0.03302445806089584,0.11944788500841667,95823,70529,25294,60,schoolfe_bw_0.8,log_real_price_psf,75,2.0,0.8,0.0,1.05,False,True,4.415893396637549
0.043355314426923856,0.03486799367749343,0.21371570541576457,-0.02498595318096327,0.11169658203481098,118521,90299,28222,63,schoolfe_bw_1.0,log_real_price_psf,75,2.0,1.0,0.0,1.05,False,True,4.430888695098512
