coef,se,p_value,ci_lo,ci_hi,n,n_left,n_right,n_clusters,spec,outcome,threshold,cutoff_km,bandwidth_km,donut_km,ring_lower_km,include_controls,add_year_fe,pct_effect
-0.007711530962356054,0.012408625691607476,0.5342934831002528,-0.032032437317906705,0.016609375393194598,156398,96435,59963,63,schoolfe_threshold_75,log_real_price_psf,75,1.0,0.5,0.0,,False,True,-0.7681873391521821
-0.01705656084222873,0.011120246589337909,0.12507163505521868,-0.03885224415733103,0.004739122472873572,134487,76008,58479,53,schoolfe_threshold_80,log_real_price_psf,80,1.0,0.5,0.0,,False,True,-1.6911921227353188
-0.01515898322847923,0.01016284120927479,0.135801733825671,-0.03507815199865782,0.004760185541699359,115879,60454,55425,42,schoolfe_threshold_85,log_real_price_psf,85,1.0,0.5,0.0,,False,True,-1.5044664224487914
-0.005510404414572016,0.01668931572820993,0.7412673013612354,-0.03822146324186347,0.027200654412719443,82052,40007,42045,32,schoolfe_threshold_90,log_real_price_psf,90,1.0,0.5,0.0,,False,True,-0.5495249984622586
0.05505240998122915,0.04171817708857722,0.18695976700627903,-0.0267152171123822,0.1368200370748405,56378,38404,17974,51,schoolfe_threshold_75,log_real_price_psf,75,2.0,0.5,0.0,1.05,False,True,5.65959894003587
0.005988069789576556,0.012836326920319115,0.640861924643245,-0.01917113097424891,0.03114727055340202,69786,41466,28320,45,schoolfe_threshold_80,log_real_price_psf,80,2.0,0.5,0.0,1.05,False,True,0.6006034118797965
0.007626871484800811,0.013651826094414269,0.5763866671115659,-0.019130707660251156,0.03438445062985278,74720,43270,31450,39,schoolfe_threshold_85,log_real_price_psf,85,2.0,0.5,0.0,1.05,False,True,0.765603015178673
0.008982433237665469,0.017492207192052547,0.6075942208152323,-0.02530229285875752,0.04326715933408846,73953,39637,34316,29,schoolfe_threshold_90,log_real_price_psf,90,2.0,0.5,0.0,1.05,False,True,0.9022896352768761
