school,year,phase_2b_applied,phase_2b_taken,phase_2b_vacancy,phase_2b_ballot,phase_2c_applied,phase_2c_taken,phase_2c_vacancy,phase_2c_ballot,phase_2b_demand,phase_2c_demand
Oasis,2024,1,1,23,0,73,5,68,1,0.043478261,1.073529412
Opera Estate,2024,1,1,28,0,65,4,87,0,0.035714286,0.747126437
Palm View,2024,1,1,49,0,77,77,146,0,0.020408163,0.52739726
Park View,2024,0,0,41,0,53,53,124,0,0,0.427419355
Pasir Ris,2024,21,20,20,1,74,41,41,1,1.05,1.804878049
Paya Lebar Methodist Girls’,2024,34,34,45,0,139,103,103,1,0.755555556,1.349514563
Pei Chun Public,2024,30,27,27,1,67,57,57,1,1.111111111,1.175438596
Pei Hwa Presbyterian,2024,22,3,20,1,66,41,41,1,1.1,1.609756098
Pei Tong,2024,0,0,65,0,27,27,200,0,0,0.135
Peiying,2024,0,0,33,0,48,48,99,0,0,0.484848485
Poi Ching,2024,35,35,38,0,192,79,79,1,0.921052632,2.430379747
Princess Elizabeth,2024,22,1,20,1,270,41,41,1,1.1,6.585365854
Punggol,2024,1,1,30,0,110,91,91,1,0.033333333,1.208791209
Punggol Cove,2024,1,1,42,0,47,47,126,0,0.023809524,0.373015873
Punggol Green,2024,1,1,20,0,108,59,59,1,0.05,1.830508475
Punggol View,2024,0,0,36,0,48,48,112,0,0,0.428571429
Qifa,2024,20,20,29,0,104,18,68,1,0.689655172,1.529411765
Qihua,2024,1,1,38,0,30,30,116,0,0.026315789,0.25862069
Queenstown,2024,1,1,44,0,110,110,133,0,0.022727273,0.827067669
Radin Mas,2024,24,24,25,0,76,13,52,1,0.96,1.461538462
Raffles Girls’,2024,29,29,55,0,183,37,135,1,0.527272727,1.355555556
Red Swastika,2024,23,20,20,1,63,43,43,1,1.15,1.465116279
River Valley,2024,18,18,34,0,95,22,86,1,0.529411765,1.104651163
Riverside,2024,5,5,20,0,77,56,56,1,0.25,1.375
Rivervale,2024,11,11,31,0,115,84,84,1,0.35483871,1.369047619
Rosyth,2024,29,20,20,1,139,44,44,1,1.45,3.159090909
Rulang,2024,37,20,20,1,115,41,41,1,1.85,2.804878049
Sembawang,2024,0,0,22,0,88,8,66,1,0,1.333333333
Seng Kang,2024,0,0,36,0,25,25,110,0,0,0.227272727
Sengkang Green,2024,18,18,20,0,94,42,42,1,0.9,2.238095238
Shuqun,2024,19,19,20,0,84,42,42,1,0.95,2
Si Ling,2024,0,0,38,0,35,35,114,0,0,0.307017544
Singapore Chinese Girls’,2024,35,20,20,1,61,40,40,1,1.75,1.525
South View,2024,21,20,20,1,127,43,43,1,1.05,2.953488372
Springdale,2024,1,1,22,0,61,61,65,0,0.045454545,0.938461538
St. Andrew’s Junior,2024,35,35,42,0,130,92,92,1,0.833333333,1.413043478
St. Anthony’s,2024,39,36,36,1,121,72,72,1,1.083333333,1.680555556
St. Anthony’s Canossian,2024,16,16,46,0,31,31,122,0,0.347826087,0.254098361
St. Gabriel’s,2024,22,22,34,0,59,59,79,0,0.647058824,0.746835443
St. Hilda’s,2024,33,20,20,1,129,41,41,1,1.65,3.146341463
St. Joseph’s Institution Junior,2024,65,5,42,1,101,10,86,1,1.547619048,1.174418605
St. Margaret’s,2024,14,14,41,0,119,6,111,1,0.341463415,1.072072072
St. Stephen’s,2024,13,13,57,0,53,53,160,0,0.228070175,0.33125
Tampines,2024,0,0,28,0,99,3,86,1,0,1.151162791
Tampines North,2024,0,0,59,0,47,47,177,0,0,0.265536723
Tanjong Katong,2024,16,16,28,0,104,26,73,1,0.571428571,1.424657534
Tao Nan,2024,62,31,31,1,86,66,66,1,2,1.303030303
Teck Ghee,2024,1,1,27,0,73,73,80,0,0.037037037,0.9125
Teck Whye,2024,0,0,49,0,22,22,147,0,0,0.149659864
Telok Kurau,2024,1,1,42,0,71,71,128,0,0.023809524,0.5546875
Temasek,2024,9,9,20,0,80,2,51,1,0.45,1.568627451
Townsville,2024,0,0,38,0,21,21,116,0,0,0.181034483
Unity,2024,0,0,49,0,66,66,146,0,0,0.452054795
Valour,2024,0,0,20,0,81,60,60,1,0,1.35
Waterway,2024,0,0,30,0,92,13,91,1,0,1.010989011
Wellington,2024,16,16,20,0,114,45,45,1,0.8,2.533333333
West Grove,2024,2,2,46,0,45,45,137,0,0.043478261,0.328467153
West Spring,2024,0,0,20,0,73,60,60,1,0,1.216666667
West View,2024,1,1,25,0,41,41,73,0,0.04,0.561643836
Westwood,2024,13,13,21,0,83,49,49,1,0.619047619,1.693877551
White Sands,2024,5,5,29,0,82,82,84,0,0.172413793,0.976190476
Woodgrove,2024,6,6,33,0,73,73,92,0,0.181818182,0.793478261
Woodlands,2024,9,9,32,0,72,72,88,0,0.28125,0.818181818
Woodlands Ring,2024,1,1,29,0,55,55,87,0,0.034482759,0.632183908
Xinghua,2024,0,0,45,0,22,22,136,0,0,0.161764706
Xingnan,2024,1,1,30,0,48,48,90,0,0.033333333,0.533333333
Xinmin,2024,16,16,20,0,93,45,45,1,0.8,2.066666667
Xishan,2024,0,0,38,0,81,81,115,0,0,0.704347826
Yangzheng,2024,11,11,20,0,72,1,51,1,0.55,1.411764706
Yew Tee,2024,1,1,44,0,73,73,131,0,0.022727273,0.557251908
Yio Chu Kang,2024,0,0,42,0,25,25,126,0,0,0.198412698
Yishun,2024,1,1,33,0,30,30,98,0,0.03030303,0.306122449
Yu Neng,2024,13,13,20,0,66,49,49,1,0.65,1.346938776
Yuhua,2024,0,0,76,0,25,25,228,0,0,0.109649123
Yumin,2024,0,0,59,0,10,10,179,0,0,0.055865922
Zhangde,2024,1,1,29,0,95,2,85,1,0.034482759,1.117647059
Zhenghua,2024,0,0,26,0,60,60,77,0,0,0.779220779
Zhonghua,2024,0,0,31,0,19,19,95,0,0,0.2
Admiralty,2025,27,5,26,1,87,52,52,1,1.038461538,1.673076923
Ahmad Ibrahim,2025,1,1,62,0,31,31,185,0,0.016129032,0.167567568
Ai Tong,2025,62,20,20,1,81,43,43,1,3.1,1.88372093
Alexandra,2025,5,5,23,0,73,10,67,1,0.217391304,1.089552239
Anchor Green,2025,0,0,52,0,23,23,155,0,0,0.148387097
Anderson,2025,25,25,29,0,91,12,65,1,0.862068966,1.4
Ang Mo Kio,2025,0,0,41,0,36,36,123,0,0,0.292682927
Anglo-Chinese (Junior),2025,61,30,30,1,95,61,61,1,2.033333333,1.557377049
Anglo-Chinese (Primary),2025,61,33,33,1,96,66,66,1,1.848484848,1.454545455
Angsana,2025,1,1,20,0,167,59,59,1,0.05,2.830508475
Beacon,2025,0,0,36,0,38,38,107,0,0,0.355140187
Bedok Green,2025,0,0,65,0,30,30,195,0,0,0.153846154
Bendemeer,2025,0,0,44,0,27,27,133,0,0,0.203007519
Blangah Rise,2025,0,0,30,0,19,19,89,0,0,0.213483146
Boon Lay Garden,2025,0,0,45,0,35,35,135,0,0,0.259259259
Bukit Panjang,2025,20,20,26,0,78,3,61,1,0.769230769,1.278688525
Bukit Timah,2025,0,0,44,0,104,8,132,0,0,0.787878788
Bukit View,2025,0,0,67,0,92,92,202,0,0,0.455445545
CHIJ (Katong),2025,12,12,40,0,71,71,107,0,0.3,0.663551402
CHIJ (Kellock),2025,6,6,42,0,57,57,123,0,0.142857143,0.463414634
CHIJ (Toa Payoh),2025,56,25,25,1,77,49,49,1,2.24,1.571428571
CHIJ Our Lady Queen of Peace,2025,7,7,46,0,89,89,132,0,0.152173913,0.674242424
CHIJ Our Lady of Good Counsel,2025,9,9,34,0,44,44,93,0,0.264705882,0.47311828
CHIJ Our Lady of the Nativity,2025,37,37,51,0,131,22,116,1,0.725490196,1.129310345
CHIJ St. Nicholas Girls’,2025,48,20,20,1,71,41,41,1,2.4,1.731707317
Canberra,2025,18,18,35,0,105,87,87,1,0.514285714,1.206896552
Canossa Catholic,2025,14,14,24,0,34,34,60,0,0.583333333,0.566666667
Cantonment,2025,0,0,39,0,29,29,116,0,0,0.25
Casuarina,2025,0,0,21,0,30,30,64,0,0,0.46875
Catholic High,2025,35,20,20,1,72,40,40,1,1.75,1.8
Cedar,2025,0,0,48,0,57,57,146,0,0,0.390410959
Changkat,2025,1,1,74,0,42,42,220,0,0.013513514,0.190909091
Chongfu,2025,39,20,20,1,138,40,40,1,1.95,3.45
Chongzheng,2025,10,10,44,0,127,0,125,1,0.227272727,1.016
Chua Chu Kang,2025,16,16,30,0,152,77,77,1,0.533333333,1.974025974
Clementi,2025,0,0,77,0,86,86,231,0,0,0.372294372
Compassvale,2025,19,19,38,0,112,96,96,1,0.5,1.166666667
Concord,2025,1,1,29,0,96,1,86,1,0.034482759,1.11627907
Corporation,2025,0,0,36,0,23,23,109,0,0,0.211009174
Dazhong,2025,0,0,26,0,72,72,80,0,0,0.9
De La Salle,2025,12,12,51,0,114,114,143,0,0.235294118,0.797202797
East Spring,2025,0,0,55,0,55,55,165,0,0,0.333333333
Edgefield,2025,0,0,59,0,26,26,178,0,0,0.146067416
Elias Park,2025,0,0,22,0,115,66,66,1,0,1.742424242
Endeavour,2025,0,0,58,0,68,68,174,0,0,0.390804598
Evergreen,2025,0,0,33,0,68,68,100,0,0,0.68
Fairfield Methodist,2025,30,20,20,1,70,42,42,1,1.5,1.666666667
Farrer Park,2025,0,0,43,0,24,24,129,0,0,0.186046512
Fengshan,2025,0,0,23,0,93,9,69,1,0,1.347826087
Fern Green,2025,0,0,51,0,85,85,153,0,0,0.555555556
Fernvale,2025,1,1,52,0,72,72,156,0,0.019230769,0.461538462
First Toa Payoh,2025,0,0,50,0,10,10,151,0,0,0.066225166
Frontier,2025,23,0,20,1,66,40,40,1,1.15,1.65
Fuchun,2025,0,0,31,0,47,47,94,0,0,0.5
Fuhua,2025,0,0,39,0,31,31,119,0,0,0.260504202
Gan Eng Seng,2025,0,0,39,0,17,17,116,0,0,0.146551724
Geylang Methodist,2025,4,4,47,0,138,138,138,0,0.085106383,1
Gongshang,2025,17,17,20,0,117,44,44,1,0.85,2.659090909
Greendale,2025,0,0,43,0,24,24,128,0,0,0.1875
Greenridge,2025,1,1,29,0,27,27,87,0,0.034482759,0.310344828
Greenwood,2025,0,0,30,0,75,75,91,0,0,0.824175824
Haig Girls’,2025,20,20,39,0,83,83,98,0,0.512820513,0.846938776
Henry Park,2025,31,31,31,0,93,63,63,1,1,1.476190476
Holy Innocents’,2025,44,22,22,1,110,45,45,1,2,2.444444444
Hong Wen,2025,23,23,28,0,153,62,62,1,0.821428571,2.467741935
Horizon,2025,11,11,20,0,79,50,50,1,0.55,1.58
Hougang,2025,16,16,38,0,115,0,98,1,0.421052632,1.173469388
Huamin,2025,2,2,20,0,86,58,58,1,0.1,1.482758621
Innova,2025,4,4,36,0,77,77,105,0,0.111111111,0.733333333
Jiemin,2025,0,0,34,0,38,38,101,0,0,0.376237624
Jing Shan,2025,0,0,20,0,50,50,60,0,0,0.833333333
Junyuan,2025,0,0,28,0,91,1,85,1,0,1.070588235
Jurong,2025,0,0,40,0,48,48,121,0,0,0.396694215
