school,year,phase_2b_applied,phase_2b_taken,phase_2b_vacancy,phase_2b_ballot,phase_2c_applied,phase_2c_taken,phase_2c_vacancy,phase_2c_ballot,phase_2b_demand,phase_2c_demand
Tanjong Katong,2025,9,9,20,0,83,13,53,1,0.45,1.566037736
Tao Nan,2025,63,20,20,1,81,45,45,1,3.15,1.8
Teck Ghee,2025,3,3,47,0,76,76,137,0,0.063829787,0.554744526
Teck Whye,2025,0,0,48,0,23,23,144,0,0,0.159722222
Telok Kurau,2025,0,0,50,0,63,63,150,0,0,0.42
Temasek,2025,10,10,20,0,103,50,50,1,0.5,2.06
Unity,2025,0,0,48,0,54,54,143,0,0,0.377622378
Valour,2025,3,3,20,0,88,57,57,1,0.15,1.543859649
Waterway,2025,0,0,20,0,102,60,60,1,0,1.7
Wellington,2025,21,0,20,1,104,40,40,1,1.05,2.6
West Grove,2025,0,0,46,0,41,41,137,0,0,0.299270073
West Spring,2025,1,1,21,0,40,40,63,0,0.047619048,0.634920635
West View,2025,0,0,20,0,32,32,61,0,0,0.524590164
Westwood,2025,7,7,20,0,76,53,53,1,0.35,1.433962264
White Sands,2025,2,2,35,0,79,79,102,0,0.057142857,0.774509804
Woodgrove,2025,5,5,34,0,87,87,98,0,0.147058824,0.887755102
Woodlands,2025,8,8,32,0,87,87,90,0,0.25,0.966666667
Woodlands Ring,2025,0,0,34,0,50,50,103,0,0,0.485436893
Xinghua,2025,0,0,47,0,45,45,140,0,0,0.321428571
Xingnan,2025,0,0,32,0,47,47,97,0,0,0.484536082
Xinmin,2025,19,19,24,0,87,53,53,1,0.791666667,1.641509434
Xishan,2025,1,1,49,0,66,66,146,0,0.020408163,0.452054795
Yangzheng,2025,14,14,20,0,98,47,47,1,0.7,2.085106383
Yew Tee,2025,1,1,48,0,68,68,144,0,0.020833333,0.472222222
Yio Chu Kang,2025,0,0,37,0,22,22,110,0,0,0.2
Yishun,2025,0,0,40,0,50,50,122,0,0,0.409836066
Yu Neng,2025,16,16,20,0,60,44,44,1,0.8,1.363636364
Yuhua,2025,1,1,58,0,26,26,174,0,0.017241379,0.149425287
Yumin,2025,0,0,67,0,10,10,201,0,0,0.049751244
Zhangde,2025,0,0,29,0,74,74,87,0,0,0.850574713
Zhenghua,2025,0,0,20,0,50,50,62,0,0,0.806451613
Zhonghua,2025,0,0,44,0,8,8,133,0,0,0.060150376
