,school,year,GSI,good_school_75,good_school_80,good_school_85,good_school_90
482,Qihua,2015,-0.5773681498910996,0,0,0,0
483,Queenstown,2015,-0.5600052658288406,0,0,0,0
484,Radin Mas,2015,0.5103763443143018,1,0,0,0
485,Raffles Girls',2015,0.7012699535096285,1,1,1,0
486,Red Swastika,2015,0.7924003734029768,1,1,1,1
487,River Valley,2015,0.4954427668166743,0,0,0,0
488,Riverside,2015,0.013595415295881647,0,0,0,0
489,Rivervale,2015,0.5588576592469852,1,1,0,0
490,Rosyth,2015,0.9834190735157462,1,1,1,1
491,Rulang,2015,0.8054659954474103,1,1,1,1
492,Sembawang,2015,-0.7326705120950715,0,0,0,0
493,Seng Kang,2015,-0.6312018347586001,0,0,0,0
494,Sengkang Green,2015,0.4422568076640387,0,0,0,0
495,Shuqun,2015,0.4638613460366142,0,0,0,0
496,Si Ling,2015,-0.7793227254643286,0,0,0,0
497,Singapore Chinese Girls',2015,0.5203874552694959,1,0,0,0
498,South View,2015,0.6134818734225989,1,1,0,0
499,Springdale,2015,-0.5331812372850782,0,0,0,0
500,St. Andrew's Junior,2015,0.6566175594092698,1,1,0,0
501,St. Anthony's,2015,0.5071892790959929,1,0,0,0
502,St. Anthony's Canossian,2015,-0.3788865119851384,0,0,0,0
503,St. Gabriel's,2015,-0.09331436731276073,0,0,0,0
504,St. Hilda's,2015,0.9900078781628736,1,1,1,1
505,St. Joseph's Institution Junior,2015,0.7029121040134069,1,1,1,0
506,St. Margaret's,2015,0.47834197718856486,0,0,0,0
507,St. Stephen's,2015,0.47917271460262145,0,0,0,0
509,Tampines,2015,0.30157477492252177,0,0,0,0
510,Tampines North,2015,-0.5295323358409698,0,0,0,0
511,Tanjong Katong,2015,-0.143320541780504,0,0,0,0
512,Tao Nan,2015,1.2296471071099568,1,1,1,1
513,Teck Ghee,2015,0.08587688751016752,0,0,0,0
514,Teck Whye,2015,-0.7102426275399344,0,0,0,0
515,Telok Kurau,2015,-0.17942385167875766,0,0,0,0
516,Temasek,2015,0.5786842859807527,1,1,0,0
517,Townsville,2015,-0.6834919468725872,0,0,0,0
518,Unity,2015,-0.12509905679188882,0,0,0,0
519,Waterway,2015,-0.8400853320961593,0,0,0,0
520,Wellington,2015,-0.49198150060696605,0,0,0,0
521,West Grove,2015,0.4610883362931256,0,0,0,0
522,West Spring,2015,-0.40537279845932245,0,0,0,0
523,West View,2015,-0.6352903728355982,0,0,0,0
524,Westwood,2015,0.46300181931439666,0,0,0,0
525,White Sands,2015,0.4649814380890683,0,0,0,0
526,Woodgrove,2015,0.09448599231476858,0,0,0,0
527,Woodlands,2015,-0.05434354996773417,0,0,0,0
528,Woodlands Ring,2015,-0.4993250732650384,0,0,0,0
529,Xinghua,2015,-0.7290049837687129,0,0,0,0
530,Xingnan,2015,-0.46371990523847906,0,0,0,0
531,Xinmin,2015,0.46378553788962007,0,0,0,0
532,Xishan,2015,-0.6182325618209921,0,0,0,0
533,Yangzheng,2015,0.4521080731589665,0,0,0,0
534,Yew Tee,2015,0.29126925038132423,0,0,0,0
535,Yio Chu Kang,2015,-0.604782229318137,0,0,0,0
536,Yishun,2015,-0.3891492198997488,0,0,0,0
537,Yu Neng,2015,0.498793892781262,0,0,0,0
538,Yuhua,2015,-0.7866679416909083,0,0,0,0
539,Yumin,2015,-0.6108738982787446,0,0,0,0
540,Zhangde,2015,0.46590056673976027,0,0,0,0
541,Zhenghua,2015,-0.4350673470520718,0,0,0,0
542,Zhonghua,2015,-0.7297070600266629,0,0,0,0
543,Admiralty,2016,0.4621326961601786,0,0,0,0
544,Ahmad Ibrahim,2016,-0.6527427750986768,0,0,0,0
545,Ai Tong,2016,0.8950555998309413,1,1,1,1
546,Alexandra,2016,0.43592865348459076,0,0,0,0
547,Anchor Green,2016,-0.08234860923697512,0,0,0,0
548,Anderson,2016,0.46782266911935727,0,0,0,0
549,Ang Mo Kio,2016,-0.6022891883225783,0,0,0,0
550,Anglo-Chinese (Junior),2016,0.7319146688154922,1,1,1,1
551,Anglo-Chinese,2016,0.9036720622226708,1,1,1,1
552,Angsana,2016,-0.9393519873421478,0,0,0,0
553,Beacon,2016,-0.23139367417681622,0,0,0,0
554,Bedok Green,2016,-0.7063392128415399,0,0,0,0
555,Bendemeer,2016,-0.5941809469839572,0,0,0,0
556,Blangah Rise,2016,-0.8966617024996435,0,0,0,0
557,Boon Lay Garden,2016,-0.7493508122091591,0,0,0,0
558,Bukit Panjang,2016,0.43729959623395226,0,0,0,0
559,Bukit Timah,2016,-0.6525022084290232,0,0,0,0
560,Bukit View,2016,-0.6487736791833218,0,0,0,0
561,CHIJ (Katong),2016,-0.09922468686587463,0,0,0,0
562,CHIJ (Kellock),2016,-0.12547424111181993,0,0,0,0
563,CHIJ (Toa Payoh),2016,0.7028193974556652,1,1,1,1
564,CHIJ Our Lady Queen of Peace,2016,-0.3552998132354951,0,0,0,0
565,CHIJ Our Lady of Good Counsel,2016,-0.1698549499487215,0,0,0,0
566,CHIJ Our Lady of the Nativity,2016,0.3231278158235204,0,0,0,0
567,CHIJ St. Nicholas Girls',2016,0.8720648975448635,1,1,1,1
568,Canberra,2016,0.5912256845902798,1,1,0,0
569,Canossa Catholic,2016,-0.8347898864589137,0,0,0,0
570,Cantonment,2016,-0.5805709541569796,0,0,0,0
571,Casuarina,2016,-0.6507128146396736,0,0,0,0
572,Catholic High,2016,1.103911414420142,1,1,1,1
573,Cedar,2016,-0.4857665660214874,0,0,0,0
574,Changkat,2016,-0.2620598496141156,0,0,0,0
575,Chongfu,2016,0.5361248703674776,1,1,0,0
576,Chongzheng,2016,0.47705768575248125,1,0,0,0
577,Chua Chu Kang,2016,0.538013113659295,1,1,0,0
578,Clementi,2016,-0.36053055391011823,0,0,0,0
579,Compassvale,2016,0.4726704792118054,0,0,0,0
580,Concord,2016,-0.5022601199666887,0,0,0,0
581,Corporation,2016,-0.5680541028171529,0,0,0,0
582,Damai,2016,-0.911877632447163,0,0,0,0
583,Dazhong,2016,-0.5624021936590607,0,0,0,0
584,De La Salle,2016,0.2421675184560125,0,0,0,0
585,East Spring,2016,-0.3851744591934109,0,0,0,0
586,Edgefield,2016,-0.12024638208629207,0,0,0,0
587,Elias Park,2016,-0.28185360535321957,0,0,0,0
588,Endeavour,2016,0.21250953210772008,0,0,0,0
590,Evergreen,2016,0.24497564454639534,0,0,0,0
591,Fairfield Methodist,2016,0.7312165824040314,1,1,1,1
592,Farrer Park,2016,-0.7749340227156677,0,0,0,0
593,Fengshan,2016,0.25569004625351954,0,0,0,0
594,Fernvale,2016,-0.5593283221304756,0,0,0,0
595,First Toa Payoh,2016,-1.0558962399043645,0,0,0,0
596,Frontier,2016,0.43029539871320094,0,0,0,0
597,Fuchun,2016,0.15186090959463516,0,0,0,0
598,Fuhua,2016,-0.5105371676513797,0,0,0,0
599,Gan Eng Seng,2016,-0.48114688461754335,0,0,0,0
600,Geylang Methodist,2016,0.19662800916030385,0,0,0,0
601,Gongshang,2016,0.5087340383182707,1,1,0,0
602,Greendale,2016,-0.6145306527440922,0,0,0,0
603,Greenridge,2016,-0.002530091354989684,0,0,0,0
604,Greenwood,2016,-0.5506873993649875,0,0,0,0
606,Haig Girls',2016,0.11317576996004122,0,0,0,0
607,Henry Park,2016,0.828955358905967,1,1,1,1
608,Holy Innocents',2016,0.4931366171156531,1,0,0,0
609,Hong Wen,2016,0.6932078368020806,1,1,1,0
610,Horizon,2016,0.5092094569533112,1,1,0,0
611,Hougang,2016,0.4440074539872485,0,0,0,0
612,Huamin,2016,-0.06016907921073076,0,0,0,0
613,Innova,2016,0.445841505582296,0,0,0,0
614,Jiemin,2016,0.17998758915598698,0,0,0,0
615,Jing Shan,2016,-0.49284207447948986,0,0,0,0
616,Junyuan,2016,-0.521681429550365,0,0,0,0
617,Jurong,2016,0.20804812634131675,0,0,0,0
618,Jurong West,2016,0.2383736558192232,0,0,0,0
620,Keming,2016,0.4863438834969681,1,0,0,0
621,Kheng Cheng,2016,0.2455274780267428,0,0,0,0
622,Kong Hwa,2016,0.7530548583873864,1,1,1,1
623,Kranji,2016,-1.0310259965208617,0,0,0,0
624,Kuo Chuan Presbyterian,2016,0.4833581952058633,1,0,0,0
625,Lakeside,2016,0.4079737167233123,0,0,0,0
626,Lianhua,2016,-0.7926291158875576,0,0,0,0
627,Maha Bodhi,2016,0.6840388967215727,1,1,1,0
628,Maris Stella High,2016,0.8486558840439222,1,1,1,1
629,Marsiling,2016,-0.6142221586703049,0,0,0,0
630,Marymount Convent,2016,-0.5726797343263572,0,0,0,0
631,Mayflower,2016,-0.6663739094714939,0,0,0,0
632,Mee Toh,2016,0.5222221340729737,1,1,0,0
633,Meridian,2016,-0.5698619078022242,0,0,0,0
634,Methodist Girls',2016,0.7533134807139851,1,1,1,1
635,Montfort Junior,2016,-0.7545425732624398,0,0,0,0
636,Nan Chiau,2016,0.6746928292882396,1,1,1,0
637,Nan Hua,2016,0.9924003734029767,1,1,1,1
638,Nanyang,2016,1.1971216371206546,1,1,1,1
639,Naval Base,2016,-0.6278991103908977,0,0,0,0
640,New Town,2016,-0.745904064195047,0,0,0,0
641,Ngee Ann,2016,0.3037037706350637,0,0,0,0
642,North Spring,2016,-0.6788592750531823,0,0,0,0
643,North View,2016,-0.22342109289974021,0,0,0,0
644,North Vista,2016,-0.1687007580521082,0,0,0,0
645,Northland,2016,0.6985145600714648,1,1,1,0
646,Northoaks,2016,-0.6471149568748579,0,0,0,0
647,Oasis,2016,-0.43323003225698936,0,0,0,0
648,Opera Estate,2016,-0.46030660462488476,0,0,0,0
649,Palm View,2016,-0.4589736467804682,0,0,0,0
650,Park View,2016,-0.6451889503983425,0,0,0,0
651,Pasir Ris,2016,0.5077831625474172,1,0,0,0
652,Paya Lebar Methodist Girls',2016,0.4859480989880286,1,0,0,0
653,Pei Chun Public,2016,0.6678033836666593,1,1,1,0
654,Pei Hwa Presbyterian,2016,0.8841524182697578,1,1,1,1
655,Pei Tong,2016,-0.508263493752859,0,0,0,0
656,Peiying,2016,-0.6088915204312004,0,0,0,0
657,Pioneer,2016,-0.8664522838102037,0,0,0,0
658,Poi Ching,2016,0.6691892746964371,1,1,1,0
659,Princess Elizabeth,2016,0.4595077118643978,0,0,0,0
660,Punggol,2016,-0.28940990034723046,0,0,0,0
661,Punggol Cove,2016,-0.5952057619252492,0,0,0,0
662,Punggol Green,2016,0.07426407265771082,0,0,0,0
663,Punggol View,2016,0.2960149223112378,0,0,0,0
664,Qifa,2016,0.3220952554524072,0,0,0,0
665,Qihua,2016,-0.6783582468604128,0,0,0,0
666,Queenstown,2016,-0.46113510135753666,0,0,0,0
667,Radin Mas,2016,0.4767308964346227,0,0,0,0
668,Raffles Girls',2016,0.6968135444114694,1,1,1,0
669,Red Swastika,2016,0.6566684476734417,1,1,0,0
670,River Valley,2016,0.5098631382037705,1,1,0,0
671,Riverside,2016,0.0967774575171532,0,0,0,0
672,Rivervale,2016,0.45748625415076355,0,0,0,0
673,Rosyth,2016,0.7228005926823247,1,1,1,1
674,Rulang,2016,0.677671600693561,1,1,1,0
675,Sembawang,2016,-0.5062783179995889,0,0,0,0
676,Seng Kang,2016,-0.6692488209531584,0,0,0,0
677,Sengkang Green,2016,0.4775316905599769,1,0,0,0
678,Shuqun,2016,0.46656912185338534,0,0,0,0
679,Si Ling,2016,-0.7086666120411568,0,0,0,0
680,Singapore Chinese Girls',2016,0.5011251727431244,1,0,0,0
681,South View,2016,0.5939318445038112,1,1,0,0
682,Springdale,2016,-0.5013967807003514,0,0,0,0
683,St. Andrew's Junior,2016,0.6630148042209739,1,1,1,0
684,St. Anthony's,2016,0.47075703519294876,0,0,0,0
685,St. Anthony's Canossian,2016,-0.38953248540803165,0,0,0,0
686,St. Gabriel's,2016,-0.3577552141413346,0,0,0,0
687,St. Hilda's,2016,0.9576432770174994,1,1,1,1
688,St. Joseph's Institution Junior,2016,0.7154774935750529,1,1,1,1
689,St. Margaret's,2016,0.24497564454639534,0,0,0,0
690,St. Stephen's,2016,0.17736779628234556,0,0,0,0
692,Tampines,2016,0.2610798843234655,0,0,0,0
693,Tampines North,2016,-0.6210699587605962,0,0,0,0
694,Tanjong Katong,2016,-0.13491435513660566,0,0,0,0
695,Tao Nan,2016,1.1001955741461118,1,1,1,1
696,Teck Ghee,2016,0.28772643335440307,0,0,0,0
697,Teck Whye,2016,-0.8095788375323859,0,0,0,0
698,Telok Kurau,2016,-0.11672507559261375,0,0,0,0
699,Temasek,2016,0.48725744922998027,1,0,0,0
700,Townsville,2016,-0.7231902800480937,0,0,0,0
701,Unity,2016,-0.2916623211681226,0,0,0,0
702,Waterway,2016,-0.6258798553018753,0,0,0,0
703,Wellington,2016,-0.5401834139334736,0,0,0,0
704,West Grove,2016,0.4611984750580992,0,0,0,0
705,West Spring,2016,-0.16926926551944332,0,0,0,0
706,West View,2016,-0.7064118836989824,0,0,0,0
707,Westwood,2016,0.4143771879361174,0,0,0,0
708,White Sands,2016,0.4641170494874602,0,0,0,0
709,Woodgrove,2016,0.07767833534507525,0,0,0,0
710,Woodlands,2016,-0.08070240685990723,0,0,0,0
711,Woodlands Ring,2016,-0.47422724241091796,0,0,0,0
712,Xinghua,2016,-0.6486949113384569,0,0,0,0
713,Xingnan,2016,-0.4477012887284091,0,0,0,0
714,Xinmin,2016,0.44252918323900886,0,0,0,0
715,Xishan,2016,-0.6912616746016443,0,0,0,0
716,Yangzheng,2016,0.4379678741877367,0,0,0,0
717,Yew Tee,2016,-0.01001081231444489,0,0,0,0
718,Yio Chu Kang,2016,-0.8068247108843128,0,0,0,0
719,Yishun,2016,-0.34266507242045513,0,0,0,0
720,Yu Neng,2016,0.45511367934746566,0,0,0,0
721,Yuhua,2016,-0.805259534611657,0,0,0,0
722,Yumin,2016,-0.7334610732428176,0,0,0,0
723,Zhangde,2016,0.18557292388967822,0,0,0,0
724,Zhenghua,2016,-0.46408535588950334,0,0,0,0
725,Zhonghua,2016,-0.8949009991075121,0,0,0,0
726,Admiralty,2017,0.4981391857721034,1,0,0,0
727,Ahmad Ibrahim,2017,-0.6650410377265816,0,0,0,0
728,Ai Tong,2017,0.897834813129228,1,1,1,1
729,Alexandra,2017,0.4711849924424095,0,0,0,0
730,Anchor Green,2017,-0.27494326724577306,0,0,0,0
731,Anderson,2017,0.5105634341401262,1,0,0,0
732,Ang Mo Kio,2017,-0.7290049837687129,0,0,0,0
733,Anglo-Chinese (Junior),2017,0.681384360981372,1,1,1,0
734,Anglo-Chinese,2017,0.868661973629568,1,1,1,1
735,Angsana,2017,-1.1289389681882196,0,0,0,0
736,Beacon,2017,-0.3797516015618574,0,0,0,0
737,Bedok Green,2017,-0.5020181207433217,0,0,0,0
738,Bendemeer,2017,-0.7118099597136732,0,0,0,0
739,Blangah Rise,2017,-0.9286159936023569,0,0,0,0
740,Boon Lay Garden,2017,-0.5880904246431654,0,0,0,0
741,Bukit Panjang,2017,0.4953939768208576,0,0,0,0
742,Bukit Timah,2017,-0.598697076008646,0,0,0,0
743,Bukit View,2017,-0.5325274331133169,0,0,0,0
744,CHIJ (Katong),2017,-0.3267325371766749,0,0,0,0
745,CHIJ (Kellock),2017,-0.27125057782525075,0,0,0,0
746,CHIJ (Toa Payoh),2017,0.7369496687503754,1,1,1,1
747,CHIJ Our Lady Queen of Peace,2017,-0.3310650451564751,0,0,0,0
748,CHIJ Our Lady of Good Counsel,2017,-0.32030025744227736,0,0,0,0
749,CHIJ Our Lady of the Nativity,2017,0.338147319362995,0,0,0,0
750,CHIJ St. Nicholas Girls',2017,0.9086716648987623,1,1,1,1
751,Canberra,2017,0.7601601586609843,1,1,1,1
752,Canossa Catholic,2017,-0.7922759562271622,0,0,0,0
753,Cantonment,2017,-0.6085546701018317,0,0,0,0
754,Casuarina,2017,-0.20131630318093563,0,0,0,0
755,Catholic High,2017,1.1057074432758092,1,1,1,1
756,Cedar,2017,-0.4132573499495023,0,0,0,0
757,Changkat,2017,-0.4357732267849573,0,0,0,0
758,Chongfu,2017,0.6154104914533126,1,1,0,0
759,Chongzheng,2017,0.46590056673976027,0,0,0,0
760,Chua Chu Kang,2017,0.5056586562582893,1,0,0,0
761,Clementi,2017,-0.35731192245277105,0,0,0,0
762,Compassvale,2017,0.46285807709698756,0,0,0,0
763,Concord,2017,-0.18996122308165067,0,0,0,0
764,Corporation,2017,-0.5761891334075039,0,0,0,0
765,Damai,2017,-0.6468772050265745,0,0,0,0
766,Dazhong,2017,-0.6144634736034064,0,0,0,0
767,De La Salle,2017,0.11014149620172956,0,0,0,0
768,East Spring,2017,-0.5368705719777451,0,0,0,0
769,Edgefield,2017,-0.4106679850614363,0,0,0,0
770,Elias Park,2017,-0.06018523081158179,0,0,0,0
771,Endeavour,2017,0.012053719587521567,0,0,0,0
773,Evergreen,2017,0.09100261303022816,0,0,0,0
774,Fairfield Methodist,2017,0.5596750646541228,1,1,0,0
775,Farrer Park,2017,-0.6855934814598483,0,0,0,0
776,Fengshan,2017,0.055383489104536214,0,0,0,0
777,Fern Green,2017,-0.5422705111158695,0,0,0,0
778,Fernvale,2017,-0.4992498265856122,0,0,0,0
779,First Toa Payoh,2017,-0.9557288871146397,0,0,0,0
780,Frontier,2017,0.48187932779098164,0,0,0,0
781,Fuchun,2017,-0.06773257307020733,0,0,0,0
782,Fuhua,2017,-0.47981063256202117,0,0,0,0
783,Gan Eng Seng,2017,-0.6697311099693516,0,0,0,0
784,Geylang Methodist,2017,0.07716158666544518,0,0,0,0
785,Gongshang,2017,0.5438137186913035,1,1,0,0
786,Greendale,2017,-0.5538831467510028,0,0,0,0
787,Greenridge,2017,-0.16224683188627684,0,0,0,0
788,Greenwood,2017,-0.4632728360439751,0,0,0,0
790,Haig Girls',2017,-0.09214645336176626,0,0,0,0
791,Henry Park,2017,0.7177655927474413,1,1,1,0
792,Holy Innocents',2017,0.714136492149051,1,1,1,0
793,Hong Wen,2017,0.799602532010292,1,1,1,1
794,Horizon,2017,0.48711312876119955,0,0,0,0
795,Hougang,2017,0.4732263811064283,0,0,0,0
796,Huamin,2017,0.13774191351784867,0,0,0,0
797,Innova,2017,0.47781124929224783,0,0,0,0
798,Jiemin,2017,0.3018804923833402,0,0,0,0
799,Jing Shan,2017,-0.2134232396700876,0,0,0,0
800,Junyuan,2017,-0.2091313828542757,0,0,0,0
801,Jurong,2017,0.08159906148494529,0,0,0,0
802,Jurong West,2017,0.30461726456529453,0,0,0,0
804,Keming,2017,0.5197207211989293,1,0,0,0
805,Kheng Cheng,2017,0.2625091739235929,0,0,0,0
806,Kong Hwa,2017,0.7325082734260857,1,1,1,0
807,Kranji,2017,-1.0812323002200792,0,0,0,0
808,Kuo Chuan Presbyterian,2017,0.478104907807817,0,0,0,0
809,Lakeside,2017,0.42170218564737727,0,0,0,0
810,Lianhua,2017,-0.8087933697441324,0,0,0,0
811,Maha Bodhi,2017,0.6983070642484495,1,1,1,0
812,Maris Stella High,2017,0.8526557262195724,1,1,1,1
813,Marsiling,2017,-0.6790536516032201,0,0,0,0
814,Marymount Convent,2017,-0.5543453240580491,0,0,0,0
815,Mayflower,2017,-0.6192370267110319,0,0,0,0
816,Mee Toh,2017,0.5383386564030957,1,0,0,0
817,Meridian,2017,-0.823059482215221,0,0,0,0
818,Methodist Girls',2017,0.6978348131292279,1,1,1,0
819,Montfort Junior,2017,-0.7976474611536669,0,0,0,0
820,Nan Chiau,2017,0.817452336773782,1,1,1,1
821,Nan Hua,2017,1.163179767059639,1,1,1,1
822,Nanyang,2017,1.0134818734225988,1,1,1,1
823,Naval Base,2017,-0.593915953886162,0,0,0,0
824,New Town,2017,-0.6781194305011407,0,0,0,0
825,Ngee Ann,2017,0.45681657059785696,0,0,0,0
826,North Spring,2017,-0.6120005138895681,0,0,0,0
827,North View,2017,-0.27762937820245503,0,0,0,0
828,North Vista,2017,-0.38899710499857215,0,0,0,0
829,Northland,2017,0.7803342215505993,1,1,1,1
830,Northoaks,2017,-0.6916202161293757,0,0,0,0
831,Oasis,2017,-0.27527774558548834,0,0,0,0
832,Opera Estate,2017,-0.43033469136971547,0,0,0,0
833,Palm View,2017,-0.446026945637452,0,0,0,0
834,Park View,2017,-0.7061334691233822,0,0,0,0
835,Pasir Ris,2017,0.5177655927474414,1,0,0,0
836,Paya Lebar Methodist Girls',2017,0.539339255640541,1,1,0,0
837,Pei Chun Public,2017,0.6659005667397603,1,1,0,0
838,Pei Hwa Presbyterian,2017,0.9046112181430781,1,1,1,1
839,Pei Tong,2017,-0.6931494961788821,0,0,0,0
840,Peiying,2017,-0.6183603848156892,0,0,0,0
841,Pioneer,2017,-0.4341013042088701,0,0,0,0
842,Poi Ching,2017,0.7656519515227589,1,1,1,1
843,Princess Elizabeth,2017,0.5407397815182962,1,1,0,0
844,Punggol,2017,-0.05310262256110596,0,0,0,0
845,Punggol Cove,2017,-0.5584815874678035,0,0,0,0
846,Punggol Green,2017,0.2166597249587628,0,0,0,0
847,Punggol View,2017,0.41814348316317373,0,0,0,0
848,Qifa,2017,0.28824439174678734,0,0,0,0
849,Qihua,2017,-0.6190724504438369,0,0,0,0
850,Queenstown,2017,-0.5331165776484974,0,0,0,0
851,Radin Mas,2017,0.49916615464888403,1,0,0,0
852,Raffles Girls',2017,0.699619321554364,1,1,1,0
853,Red Swastika,2017,0.7874955955211398,1,1,1,1
854,River Valley,2017,0.4797799081520672,0,0,0,0
855,Riverside,2017,0.2852109629589122,0,0,0,0
856,Rivervale,2017,0.46180740159081285,0,0,0,0
857,Rosyth,2017,1.0435867239902112,1,1,1,1
858,Rulang,2017,0.5353672931689725,1,0,0,0
859,Sembawang,2017,-0.542050927878481,0,0,0,0
860,Seng Kang,2017,-0.6827249374961764,0,0,0,0
861,Sengkang Green,2017,0.6360379671564429,1,1,0,0
862,Shuqun,2017,0.4786794422925984,0,0,0,0
863,Si Ling,2017,-0.8157151241198602,0,0,0,0
864,Singapore Chinese Girls',2017,0.4733870532767049,0,0,0,0
865,South View,2017,0.6492594998175274,1,1,0,0
866,Springdale,2017,-0.40846489488047744,0,0,0,0
867,St. Andrew's Junior,2017,0.6902103682627548,1,1,1,0
868,St. Anthony's,2017,0.4959488375500552,0,0,0,0
869,St. Anthony's Canossian,2017,-0.383195073306969,0,0,0,0
870,St. Gabriel's,2017,-0.2464145754945668,0,0,0,0
871,St. Hilda's,2017,1.0306334932273775,1,1,1,1
872,St. Joseph's Institution Junior,2017,0.7071625363200933,1,1,1,0
873,St. Margaret's,2017,0.32225386714868937,0,0,0,0
874,St. Stephen's,2017,-0.0403005070048859,0,0,0,0
876,Tampines,2017,0.4442848504694073,0,0,0,0
877,Tampines North,2017,-0.5030819914518077,0,0,0,0
878,Tanjong Katong,2017,-0.34698770228592635,0,0,0,0
879,Tao Nan,2017,1.0782661255555108,1,1,1,1
880,Teck Ghee,2017,0.3442299927959116,0,0,0,0
881,Teck Whye,2017,-0.8418193010840495,0,0,0,0
882,Telok Kurau,2017,-0.331269137048462,0,0,0,0
883,Temasek,2017,0.5512713411350864,1,1,0,0
884,Townsville,2017,-0.6412480789635383,0,0,0,0
885,Unity,2017,-0.2618362974848016,0,0,0,0
886,Waterway,2017,-0.4989961751466823,0,0,0,0
887,Wellington,2017,-0.42923747136202134,0,0,0,0
888,West Grove,2017,0.48905518963020017,0,0,0,0
889,West Spring,2017,4.196838011378677e-05,0,0,0,0
890,West View,2017,-0.616739468350847,0,0,0,0
891,Westwood,2017,0.4838792823366013,0,0,0,0
892,White Sands,2017,0.5078985896416819,1,0,0,0
893,Woodgrove,2017,-0.0788932731606367,0,0,0,0
894,Woodlands,2017,-0.04977131954036974,0,0,0,0
895,Woodlands Ring,2017,-0.4810006593094754,0,0,0,0
896,Xinghua,2017,-0.6774104073499038,0,0,0,0
897,Xingnan,2017,-0.17594508432604278,0,0,0,0
898,Xinmin,2017,0.43862507244001986,0,0,0,0
899,Xishan,2017,-0.7096630055989338,0,0,0,0
900,Yangzheng,2017,0.4899903704844719,0,0,0,0
901,Yew Tee,2017,-0.1271201670337896,0,0,0,0
902,Yio Chu Kang,2017,-0.69473111967892,0,0,0,0
903,Yishun,2017,-0.4568547268045794,0,0,0,0
904,Yu Neng,2017,0.48818363167110373,0,0,0,0
905,Yuhua,2017,-0.6132346592956287,0,0,0,0
906,Yumin,2017,-0.6554249566691571,0,0,0,0
907,Zhangde,2017,0.2712627898158393,0,0,0,0
908,Zhenghua,2017,-0.45601939538804376,0,0,0,0
909,Zhonghua,2017,-0.8930108255757979,0,0,0,0
910,Admiralty,2018,0.6139486004672668,1,0,0,0
911,Ahmad Ibrahim,2018,-0.6963617144654408,0,0,0,0
912,Ai Tong,2018,1.0290450538272176,1,1,1,1
913,Alexandra,2018,0.44246848334121913,0,0,0,0
914,Anchor Green,2018,-0.48084039860846156,0,0,0,0
915,Anderson,2018,0.5277480229474655,0,0,0,0
916,Ang Mo Kio,2018,-0.6141250201786961,0,0,0,0
917,Anglo-Chinese (Junior),2018,0.7010258099316714,1,1,0,0
918,Anglo-Chinese,2018,0.9285613482185866,1,1,1,1
919,Angsana,2018,-1.1079776752567636,0,0,0,0
920,Beacon,2018,-0.611651898564183,0,0,0,0
921,Bedok Green,2018,-0.6554649974982627,0,0,0,0
922,Bendemeer,2018,-0.5919873358554484,0,0,0,0
923,Blangah Rise,2018,-0.8692912534515124,0,0,0,0
924,Boon Lay Garden,2018,-0.6803045113704542,0,0,0,0
925,Bukit Panjang,2018,0.4951966641368104,0,0,0,0
926,Bukit Timah,2018,-0.5737270497350915,0,0,0,0
927,Bukit View,2018,-0.6692258344014984,0,0,0,0
928,CHIJ (Katong),2018,-0.36130196055445735,0,0,0,0
929,CHIJ (Kellock),2018,-0.0015016876167172912,0,0,0,0
930,CHIJ (Toa Payoh),2018,0.7180631063270791,1,1,0,0
931,CHIJ Our Lady Queen of Peace,2018,-0.4707790781328505,0,0,0,0
932,CHIJ Our Lady of Good Counsel,2018,-0.3788891468266493,0,0,0,0
933,CHIJ Our Lady of the Nativity,2018,0.3492710027774275,0,0,0,0
934,CHIJ St. Nicholas Girls',2018,0.949558697943286,1,1,1,1
935,Canberra,2018,0.8645032468725108,1,1,1,0
936,Canossa Catholic,2018,-0.4730278650999077,0,0,0,0
937,Cantonment,2018,-0.5342567397756649,0,0,0,0
938,Casuarina,2018,-0.041251133912460734,0,0,0,0
939,Catholic High,2018,1.2192541020706376,1,1,1,1
940,Cedar,2018,-0.7061665451155027,0,0,0,0
941,Changkat,2018,-0.5392330194977456,0,0,0,0
942,Chongfu,2018,0.859025823422417,1,1,1,0
943,Chongzheng,2018,0.5318163533092032,0,0,0,0
944,Chua Chu Kang,2018,0.5463204666096324,0,0,0,0
945,Clementi,2018,-0.057760545300839565,0,0,0,0
946,Compassvale,2018,0.5287080983437876,0,0,0,0
947,Concord,2018,-0.029858818466406013,0,0,0,0
948,Corporation,2018,-0.5522161999442039,0,0,0,0
949,Damai,2018,-0.838860887123849,0,0,0,0
950,Dazhong,2018,-0.7783966148148552,0,0,0,0
951,De La Salle,2018,-0.06950807546307759,0,0,0,0
952,East Spring,2018,-0.49752750001306834,0,0,0,0
953,Edgefield,2018,-0.48059042489298065,0,0,0,0
954,Elias Park,2018,0.13978113422099456,0,0,0,0
955,Endeavour,2018,-0.1387126624820114,0,0,0,0
957,Evergreen,2018,-0.08052439054001015,0,0,0,0
958,Fairfield Methodist,2018,0.7595500052109149,1,1,1,0
959,Farrer Park,2018,-0.7915474793376093,0,0,0,0
960,Fengshan,2018,0.12603367375816832,0,0,0,0
961,Fern Green,2018,-0.4561192970817526,0,0,0,0
962,Fernvale,2018,-0.6160936790385155,0,0,0,0
963,First Toa Payoh,2018,-0.961749642434119,0,0,0,0
