,school,year,GSI,good_school_75,good_school_80,good_school_85,good_school_90
96,Naval Base,2013,-0.6176696945372931,0,0,0,0
97,New Town,2013,-0.4847826694138777,0,0,0,0
98,Ngee Ann,2013,0.18936494030216272,0,0,0,0
99,North Spring,2013,-0.676712320938443,0,0,0,0
100,North View,2013,-0.3914934570470155,0,0,0,0
101,North Vista,2013,0.0012422658145367224,0,0,0,0
102,Northland,2013,0.5326850452633181,0,0,0,0
103,Northoaks,2013,-0.6974293493260005,0,0,0,0
104,Opera Estate,2013,-0.4922275574378271,0,0,0,0
105,Palm View,2013,-0.5440211016860435,0,0,0,0
106,Park View,2013,-0.5174002677323669,0,0,0,0
107,Pasir Ris,2013,0.5594698933001786,1,0,0,0
108,Paya Lebar Methodist Girls',2013,0.6535139930601123,1,1,0,0
109,Pei Chun Public,2013,0.9033946657405119,1,1,1,1
110,Pei Hwa Presbyterian,2013,0.9558252387931392,1,1,1,1
111,Pei Tong,2013,-0.5329896104203632,0,0,0,0
112,Peiying,2013,-0.5802258019861319,0,0,0,0
113,Pioneer,2013,-0.5576510173305844,0,0,0,0
114,Poi Ching,2013,0.7563242283318934,1,1,1,0
115,Princess Elizabeth,2013,0.4581641918817143,0,0,0,0
116,Punggol,2013,-0.3989245690700241,0,0,0,0
117,Punggol Green,2013,-0.6223760386435385,0,0,0,0
118,Punggol View,2013,0.009599402856359818,0,0,0,0
119,Qifa,2013,-0.07808571233955891,0,0,0,0
120,Qihua,2013,-0.5220581717605436,0,0,0,0
121,Queenstown,2013,-0.5650402657637239,0,0,0,0
122,Radin Mas,2013,0.5611699186978306,1,0,0,0
123,Raffles Girls',2013,0.7031741857069866,1,1,0,0
124,Red Swastika,2013,1.107417545293421,1,1,1,1
125,River Valley,2013,0.552772505937494,1,0,0,0
126,Riverside,2013,0.018737886991191867,0,0,0,0
127,Rivervale,2013,0.6059953868856542,1,1,0,0
128,Rosyth,2013,1.0960617844979825,1,1,1,1
129,Rulang,2013,0.6545879191388297,1,1,0,0
130,Sembawang,2013,-0.5409504620190122,0,0,0,0
131,Seng Kang,2013,-0.46145135494198497,0,0,0,0
132,Sengkang Green,2013,0.016722813313497037,0,0,0,0
133,Shuqun,2013,0.49763391020425013,0,0,0,0
134,Si Ling,2013,-0.7470771383106384,0,0,0,0
135,Singapore Chinese Girls',2013,0.7406682847077386,1,1,1,0
136,South View,2013,0.6357301429199914,1,1,0,0
137,Springdale,2013,-0.7701443624720703,0,0,0,0
138,St. Andrew's Junior,2013,0.6953896809849139,1,1,0,0
139,St. Anthony's,2013,0.5016211150436718,0,0,0,0
140,St. Anthony's Canossian,2013,-0.20157385871678393,0,0,0,0
141,St. Gabriel's,2013,0.17960385889031005,0,0,0,0
142,St. Hilda's,2013,0.9916021476256909,1,1,1,1
143,St. Joseph's Institution Junior,2013,0.7239558091770142,1,1,1,0
144,St. Margaret's,2013,0.5371247661945197,0,0,0,0
145,St. Stephen's,2013,0.5400486576787848,1,0,0,0
147,Tampines,2013,-0.037192039075538315,0,0,0,0
148,Tampines North,2013,-0.5904649046477743,0,0,0,0
149,Tanjong Katong,2013,-0.23459291738791815,0,0,0,0
150,Tao Nan,2013,1.125027513086111,1,1,1,1
151,Teck Ghee,2013,-0.01910517715255889,0,0,0,0
152,Teck Whye,2013,-0.8429606068071892,0,0,0,0
153,Telok Kurau,2013,0.24927562182361734,0,0,0,0
154,Temasek,2013,0.7438116323802549,1,1,1,0
155,Townsville,2013,-0.520377398363358,0,0,0,0
156,Unity,2013,0.09389065885037218,0,0,0,0
157,Wellington,2013,-0.42181683312803214,0,0,0,0
158,West Grove,2013,0.49737138484738797,0,0,0,0
159,West Spring,2013,-0.5013556038789851,0,0,0,0
160,West View,2013,-0.731436366689011,0,0,0,0
161,Westwood,2013,0.46128992983140327,0,0,0,0
162,White Sands,2013,0.48571345033266544,0,0,0,0
163,Woodgrove,2013,0.1505132883107779,0,0,0,0
164,Woodlands,2013,-0.26017431628711235,0,0,0,0
165,Woodlands Ring,2013,-0.14824399575967426,0,0,0,0
166,Xinghua,2013,-0.5925434847518702,0,0,0,0
167,Xingnan,2013,-0.44080716487768107,0,0,0,0
168,Xinmin,2013,0.4787359801184652,0,0,0,0
169,Xishan,2013,-0.6145925142361077,0,0,0,0
170,Yangzheng,2013,0.20394179756024897,0,0,0,0
171,Yew Tee,2013,0.5000420026990027,0,0,0,0
172,Yio Chu Kang,2013,-0.6051511734421693,0,0,0,0
173,Yishun,2013,-0.2147133555770492,0,0,0,0
174,Yu Neng,2013,0.6843873740256299,1,1,0,0
175,Yuhua,2013,-0.5782193112396752,0,0,0,0
176,Yumin,2013,-0.5899660144194778,0,0,0,0
177,Zhangde,2013,0.4920816871624749,0,0,0,0
178,Zhenghua,2013,-0.4942111615313917,0,0,0,0
179,Zhonghua,2013,-0.5887078751387712,0,0,0,0
180,Admiralty,2014,0.5023850865327265,0,0,0,0
181,Ahmad Ibrahim,2014,-0.6017846244479531,0,0,0,0
182,Ai Tong,2014,0.9230335082940868,1,1,1,1
183,Alexandra,2014,0.49145572043152874,0,0,0,0
184,Anchor Green,2014,0.10134102449717726,0,0,0,0
185,Anderson,2014,0.5331460989621561,1,0,0,0
186,Ang Mo Kio,2014,-0.5349252948892901,0,0,0,0
187,Anglo-Chinese (Junior),2014,0.6784866165133876,1,1,0,0
188,Anglo-Chinese,2014,0.9281620919145741,1,1,1,1
189,Angsana,2014,-0.8606583957518135,0,0,0,0
190,Beacon,2014,0.15169150732095008,0,0,0,0
191,Bedok Green,2014,-0.5303509108665548,0,0,0,0
192,Bendemeer,2014,-0.4970565229685443,0,0,0,0
193,Blangah Rise,2014,-0.9608546126347002,0,0,0,0
194,Boon Lay Garden,2014,-0.5947241080374027,0,0,0,0
195,Bukit Panjang,2014,0.47121791912453576,0,0,0,0
196,Bukit Timah,2014,-0.5526160173957011,0,0,0,0
197,Bukit View,2014,-0.5906017019910753,0,0,0,0
198,CHIJ (Katong),2014,0.22805732446069432,0,0,0,0
199,CHIJ (Kellock),2014,0.16376117536854892,0,0,0,0
200,CHIJ (Toa Payoh),2014,0.7141181412700027,1,1,0,0
201,CHIJ Our Lady Queen of Peace,2014,-0.025107120006362667,0,0,0,0
202,CHIJ Our Lady of Good Counsel,2014,0.28434936693454893,0,0,0,0
203,CHIJ Our Lady of the Nativity,2014,0.49755804140265036,0,0,0,0
204,CHIJ St. Nicholas Girls',2014,0.967781178220021,1,1,1,1
205,Canberra,2014,0.7569281426888602,1,1,1,0
206,Canossa Catholic,2014,-0.6160936790385155,0,0,0,0
207,Cantonment,2014,-0.5562584496166922,0,0,0,0
208,Casuarina,2014,-0.5065020635435384,0,0,0,0
209,Catholic High,2014,1.1550488950954112,1,1,1,1
210,Cedar,2014,-0.2921781328596057,0,0,0,0
211,Changkat,2014,-0.22759374801662943,0,0,0,0
212,Chongfu,2014,0.7221381028651318,1,1,0,0
213,Chongzheng,2014,0.47188963152615815,0,0,0,0
214,Chua Chu Kang,2014,0.30331983333791557,0,0,0,0
215,Clementi,2014,-0.06311522058771522,0,0,0,0
216,Compassvale,2014,0.5329634536461468,1,0,0,0
217,Concord,2014,-0.39964705147674545,0,0,0,0
218,Corporation,2014,-0.4978919716451331,0,0,0,0
219,Damai,2014,-0.84813045863837,0,0,0,0
220,Dazhong,2014,-0.5817112887555279,0,0,0,0
221,De La Salle,2014,0.5272172950511484,0,0,0,0
222,East Spring,2014,0.05528045134793293,0,0,0,0
223,Edgefield,2014,0.14598800015876578,0,0,0,0
224,Elias Park,2014,-0.06395425344399698,0,0,0,0
225,Endeavour,2014,0.46590056673976027,0,0,0,0
227,Evergreen,2014,0.4579428430935429,0,0,0,0
228,Fairfield Methodist,2014,0.8251270864926435,1,1,1,0
229,Farrer Park,2014,-0.8615600449057466,0,0,0,0
230,Fengshan,2014,0.4788617683451057,0,0,0,0
231,Fernvale,2014,-0.6558517685570445,0,0,0,0
232,First Toa Payoh,2014,-0.899630112772589,0,0,0,0
233,Frontier,2014,0.5247211976973506,0,0,0,0
234,Fuchun,2014,0.1711572985181299,0,0,0,0
235,Fuhua,2014,-0.4691942825581478,0,0,0,0
236,Gan Eng Seng,2014,-0.4206465983826418,0,0,0,0
237,Geylang Methodist,2014,0.43963113616136473,0,0,0,0
238,Gongshang,2014,0.5029203078945873,0,0,0,0
239,Greendale,2014,-0.5807440995915149,0,0,0,0
240,Greenridge,2014,0.4429529627144892,0,0,0,0
241,Greenwood,2014,-0.09263723643784592,0,0,0,0
243,Haig Girls',2014,-0.08088839579749835,0,0,0,0
244,Henry Park,2014,0.9855090014855212,1,1,1,1
245,Holy Innocents',2014,0.9123823170798644,1,1,1,1
246,Hong Wen,2014,0.9258598077827245,1,1,1,1
247,Horizon,2014,0.2852703004591317,0,0,0,0
248,Hougang,2014,0.53173011759201,0,0,0,0
249,Huamin,2014,-0.46546172574807493,0,0,0,0
250,Innova,2014,0.6152433036319195,1,0,0,0
251,Jiemin,2014,0.4612497263094606,0,0,0,0
252,Jing Shan,2014,-0.48255193346803005,0,0,0,0
253,Junyuan,2014,-0.5738582258936455,0,0,0,0
254,Jurong,2014,0.48247632710749633,0,0,0,0
255,Jurong West,2014,0.3667406211309229,0,0,0,0
257,Keming,2014,0.5150944926536651,0,0,0,0
258,Kheng Cheng,2014,0.11097404135763882,0,0,0,0
259,Kong Hwa,2014,0.9808009234178521,1,1,1,1
260,Kranji,2014,-0.8663618610281605,0,0,0,0
261,Kuo Chuan Presbyterian,2014,0.5223539191526763,0,0,0,0
262,Lakeside,2014,0.10085245405520583,0,0,0,0
263,Lianhua,2014,-0.7739297664160083,0,0,0,0
264,Maha Bodhi,2014,0.9071625363200932,1,1,1,1
265,Maris Stella High,2014,0.8977018521219409,1,1,1,1
266,Marsiling,2014,-0.6860839472191268,0,0,0,0
267,Marymount Convent,2014,-0.4230018700420954,0,0,0,0
268,Mayflower,2014,-0.617627214126565,0,0,0,0
269,Mee Toh,2014,0.7615120328790773,1,1,1,0
270,Meridian,2014,-0.6911410341969896,0,0,0,0
271,Methodist Girls',2014,0.7406682847077386,1,1,0,0
272,Montfort Junior,2014,-0.7585492602012934,0,0,0,0
273,Nan Chiau,2014,0.8258194758656761,1,1,1,0
274,Nan Hua,2014,1.25523900425922,1,1,1,1
275,Nanyang,2014,1.1102379183800748,1,1,1,1
276,Naval Base,2014,-0.7905035513040072,0,0,0,0
277,New Town,2014,-0.5288150634742903,0,0,0,0
278,Ngee Ann,2014,0.3912690256793491,0,0,0,0
279,North Spring,2014,-0.70029137931825,0,0,0,0
280,North View,2014,-0.42205739979768586,0,0,0,0
281,North Vista,2014,-0.10707012622005212,0,0,0,0
282,Northland,2014,0.6194510944595617,1,0,0,0
283,Northoaks,2014,-0.7105567855728712,0,0,0,0
284,Opera Estate,2014,-0.40884326346196803,0,0,0,0
285,Palm View,2014,-0.4532535002886834,0,0,0,0
286,Park View,2014,-0.5257874518130481,0,0,0,0
287,Pasir Ris,2014,0.79099977562737,1,1,1,0
288,Paya Lebar Methodist Girls',2014,0.5368647149195193,1,0,0,0
289,Pei Chun Public,2014,0.9489143713486559,1,1,1,1
290,Pei Hwa Presbyterian,2014,0.8681590686357534,1,1,1,1
291,Pei Tong,2014,-0.517518378620471,0,0,0,0
292,Peiying,2014,-0.5170108493691418,0,0,0,0
293,Pioneer,2014,-0.5387979775825781,0,0,0,0
294,Poi Ching,2014,0.7329120635150501,1,1,0,0
295,Princess Elizabeth,2014,0.46836352645359836,0,0,0,0
296,Punggol,2014,-0.4520477009569315,0,0,0,0
297,Punggol Green,2014,-0.4963584365570836,0,0,0,0
298,Punggol View,2014,0.15346371599670186,0,0,0,0
299,Qifa,2014,0.11023143773272454,0,0,0,0
300,Qihua,2014,-0.548992145842182,0,0,0,0
301,Queenstown,2014,-0.5686641373172429,0,0,0,0
302,Radin Mas,2014,0.804145946350553,1,1,1,0
303,Raffles Girls',2014,0.7177655927474413,1,1,0,0
304,Red Swastika,2014,0.8391610634217861,1,1,1,0
305,River Valley,2014,0.4985187322859289,0,0,0,0
306,Riverside,2014,0.15136684023257377,0,0,0,0
307,Rivervale,2014,0.5820434520203204,1,0,0,0
308,Rosyth,2014,1.0839436649102576,1,1,1,1
309,Rulang,2014,0.8554559086310799,1,1,1,1
310,Sembawang,2014,-0.4948331242167884,0,0,0,0
311,Seng Kang,2014,-0.4801950227757838,0,0,0,0
312,Sengkang Green,2014,0.2232491926531644,0,0,0,0
313,Shuqun,2014,0.5731770413373185,1,0,0,0
314,Si Ling,2014,-0.7869252642502111,0,0,0,0
315,Singapore Chinese Girls',2014,0.6888032587000573,1,1,0,0
316,South View,2014,0.6139770346788865,1,0,0,0
317,Springdale,2014,-0.6468772050265745,0,0,0,0
318,St. Andrew's Junior,2014,0.7199211800127538,1,1,0,0
319,St. Anthony's,2014,0.5138686815351584,0,0,0,0
320,St. Anthony's Canossian,2014,-0.23942274596885715,0,0,0,0
321,St. Gabriel's,2014,0.1743628456187858,0,0,0,0
322,St. Hilda's,2014,0.95101379098757,1,1,1,1
323,St. Joseph's Institution Junior,2014,0.7156911857554492,1,1,0,0
324,St. Margaret's,2014,0.5119795613505146,0,0,0,0
325,St. Stephen's,2014,0.5025030015893007,0,0,0,0
327,Tampines,2014,0.10786405550238946,0,0,0,0
328,Tampines North,2014,-0.5816418295756169,0,0,0,0
329,Tanjong Katong,2014,-0.0708625861951721,0,0,0,0
330,Tao Nan,2014,1.1473620069510857,1,1,1,1
331,Teck Ghee,2014,0.1111958818402603,0,0,0,0
332,Teck Whye,2014,-0.8403861994641441,0,0,0,0
333,Telok Kurau,2014,0.005758805863036246,0,0,0,0
334,Temasek,2014,0.8018610339062853,1,1,1,0
335,Townsville,2014,-0.6180157814181125,0,0,0,0
336,Unity,2014,0.10673743989156595,0,0,0,0
337,Wellington,2014,-0.49092697025865034,0,0,0,0
338,West Grove,2014,0.4575577380234634,0,0,0,0
339,West Spring,2014,-0.430872012402531,0,0,0,0
340,West View,2014,-0.742593485701732,0,0,0,0
341,Westwood,2014,0.4540282596398482,0,0,0,0
342,White Sands,2014,0.4780075032289122,0,0,0,0
343,Woodgrove,2014,0.14244400519950973,0,0,0,0
344,Woodlands,2014,-0.2745203847440873,0,0,0,0
345,Woodlands Ring,2014,-0.24411116153359957,0,0,0,0
346,Xinghua,2014,-0.6175124853208508,0,0,0,0
347,Xingnan,2014,-0.43362154570872136,0,0,0,0
348,Xinmin,2014,0.4591271498412028,0,0,0,0
349,Xishan,2014,-0.7037678673948087,0,0,0,0
350,Yangzheng,2014,0.3535659097962435,0,0,0,0
351,Yew Tee,2014,0.256928771856395,0,0,0,0
352,Yio Chu Kang,2014,-0.5847029595010107,0,0,0,0
353,Yishun,2014,-0.2498088473354379,0,0,0,0
354,Yu Neng,2014,0.7845195393752149,1,1,1,0
355,Yuhua,2014,-0.75742264459047,0,0,0,0
356,Yumin,2014,-0.673115403408567,0,0,0,0
357,Zhangde,2014,0.4374141402539868,0,0,0,0
358,Zhenghua,2014,-0.446026945637452,0,0,0,0
359,Zhonghua,2014,-0.6468772050265745,0,0,0,0
360,Admiralty,2015,0.47205626439429027,0,0,0,0
361,Ahmad Ibrahim,2015,-0.6236512031760072,0,0,0,0
362,Ai Tong,2015,0.9786539693031127,1,1,1,1
363,Alexandra,2015,0.4945832635966484,0,0,0,0
364,Anchor Green,2015,-0.02282886968593208,0,0,0,0
365,Anderson,2015,0.5177655927474414,1,0,0,0
366,Ang Mo Kio,2015,-0.5411117719580736,0,0,0,0
367,Anglo-Chinese (Junior),2015,0.7255601289876537,1,1,1,0
368,Anglo-Chinese,2015,0.8620824673448395,1,1,1,1
369,Angsana,2015,-0.9573406198675181,0,0,0,0
370,Beacon,2015,-0.016143697045112246,0,0,0,0
371,Bedok Green,2015,-0.5547500864432924,0,0,0,0
372,Bendemeer,2015,-0.651428823248016,0,0,0,0
373,Blangah Rise,2015,-0.8442945837882039,0,0,0,0
374,Boon Lay Garden,2015,-0.6984668485636577,0,0,0,0
375,Bukit Panjang,2015,0.44504931365291206,0,0,0,0
376,Bukit Timah,2015,-0.5625252343486573,0,0,0,0
377,Bukit View,2015,-0.522951805706403,0,0,0,0
378,CHIJ (Katong),2015,0.05276162658248166,0,0,0,0
379,CHIJ (Kellock),2015,0.1077700002626792,0,0,0,0
380,CHIJ (Toa Payoh),2015,0.6787324700368559,1,1,0,0
381,CHIJ Our Lady Queen of Peace,2015,-0.136631360124541,0,0,0,0
382,CHIJ Our Lady of Good Counsel,2015,0.08458089406170399,0,0,0,0
383,CHIJ Our Lady of the Nativity,2015,0.29448138722318834,0,0,0,0
384,CHIJ St. Nicholas Girls',2015,0.936116666486297,1,1,1,1
385,Canberra,2015,0.7029121040134069,1,1,1,0
386,Canossa Catholic,2015,-0.7813985757697929,0,0,0,0
387,Cantonment,2015,-0.4416450743786672,0,0,0,0
388,Casuarina,2015,-0.6233953847505727,0,0,0,0
389,Catholic High,2015,1.136116666486297,1,1,1,1
390,Cedar,2015,-0.323242063079252,0,0,0,0
391,Changkat,2015,-0.35348095905689275,0,0,0,0
392,Chongfu,2015,0.5429158639641105,1,0,0,0
393,Chongzheng,2015,0.454287931104627,0,0,0,0
394,Chua Chu Kang,2015,0.4105511743537344,0,0,0,0
395,Clementi,2015,-0.26509758465731253,0,0,0,0
396,Compassvale,2015,0.4791055418072227,0,0,0,0
397,Concord,2015,-0.4546865062899882,0,0,0,0
398,Corporation,2015,-0.45601939538804376,0,0,0,0
399,Damai,2015,-0.8512589905472355,0,0,0,0
400,Dazhong,2015,-0.6122100682783537,0,0,0,0
401,De La Salle,2015,0.4899903704844719,0,0,0,0
402,East Spring,2015,-0.1316027178441163,0,0,0,0
403,Edgefield,2015,0.08587688751016752,0,0,0,0
404,Elias Park,2015,-0.07531378860283662,0,0,0,0
405,Endeavour,2015,0.4423503724531149,0,0,0,0
407,Evergreen,2015,0.41565645719692135,0,0,0,0
408,Fairfield Methodist,2015,0.7467210677315878,1,1,1,0
409,Farrer Park,2015,-0.7328914597332953,0,0,0,0
410,Fengshan,2015,0.47235559407082023,0,0,0,0
411,Fernvale,2015,-0.6145306527440922,0,0,0,0
412,First Toa Payoh,2015,-0.9531309688769234,0,0,0,0
413,Frontier,2015,0.45176249855208106,0,0,0,0
414,Fuchun,2015,0.008930671630995674,0,0,0,0
415,Fuhua,2015,-0.5132724778598479,0,0,0,0
416,Gan Eng Seng,2015,-0.37444188401034384,0,0,0,0
417,Geylang Methodist,2015,0.42666170800358405,0,0,0,0
418,Gongshang,2015,0.4923495858085878,0,0,0,0
419,Greendale,2015,-0.42970316323415786,0,0,0,0
420,Greenridge,2015,0.2028272811293103,0,0,0,0
421,Greenwood,2015,-0.35591039528985047,0,0,0,0
423,Haig Girls',2015,-0.08411920928623919,0,0,0,0
424,Henry Park,2015,0.8089302552011575,1,1,1,1
425,Holy Innocents',2015,0.8599996019940734,1,1,1,1
426,Hong Wen,2015,0.799602532010292,1,1,1,1
427,Horizon,2015,0.507217962592319,1,0,0,0
428,Hougang,2015,0.47933297943497993,0,0,0,0
429,Huamin,2015,-0.19500010077019808,0,0,0,0
430,Innova,2015,0.5260116793883585,1,0,0,0
431,Jiemin,2015,0.4555010249255441,0,0,0,0
432,Jing Shan,2015,-0.5645840185610109,0,0,0,0
433,Junyuan,2015,-0.5530493306095856,0,0,0,0
434,Jurong,2015,0.44267529546949375,0,0,0,0
435,Jurong West,2015,0.2986646959469247,0,0,0,0
437,Keming,2015,0.5538226593121017,1,1,0,0
438,Kheng Cheng,2015,0.2974528532747403,0,0,0,0
439,Kong Hwa,2015,0.8796750936162265,1,1,1,1
440,Kranji,2015,-0.9804810196100383,0,0,0,0
441,Kuo Chuan Presbyterian,2015,0.6542797272234464,1,1,0,0
442,Lakeside,2015,0.2618628202576236,0,0,0,0
443,Lianhua,2015,-0.6453098728528357,0,0,0,0
444,Maha Bodhi,2015,0.705006949054781,1,1,1,0
445,Maris Stella High,2015,0.8743397896288887,1,1,1,1
446,Marsiling,2015,-0.6565019861427892,0,0,0,0
447,Marymount Convent,2015,-0.5266414074284498,0,0,0,0
